# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_15             -          all_tr_seqs          -               18     336  6136485  6136831  6136467  6136837 15104844    +     7.3e-48  170.2   5.0  -
SUPER_15             -          all_tr_seqs          -              183     334 14977516 14977646 14977501 14977658 15104844    +     5.1e-05   29.2   1.6  -
SUPER_3              -          all_tr_seqs          -              122     192 15172372 15172447 15172352 15172461 21261719    +       0.076   18.8   6.0  -
SUPER_13             -          all_tr_seqs          -              154     246  9144805  9144899  9144785  9144913 15993627    +        0.35   16.6   0.6  -
SUPER_4              -          all_tr_seqs          -               15      69  8698516  8698462  8698535  8698441 19813990    -        0.42   16.3   3.7  -
SUPER_11             -          all_tr_seqs          -               90     139  8122712  8122755  8122694  8122773 17153086    +        0.43   16.3   0.0  -
SUPER_3              -          all_tr_seqs          -               20      72 15650823 15650875 15650803 15650895 21261719    +        0.43   16.3   1.5  -
SUPER_18             -          all_tr_seqs          -              198     238  8859862  8859905  8859848  8859925 10356277    +        0.71   15.6   2.4  -
SUPER_1              -          all_tr_seqs          -               21     103 13576357 13576444 13576340 13576459 32792118    +        0.85   15.3   0.5  -
SUPER_6              -          all_tr_seqs          -               19      72  2176011  2176064  2175991  2176084 19483162    +        0.94   15.2   2.9  -
SUPER_5              -          all_tr_seqs          -               16      91  9747697  9747622  9747712  9747612 19534141    -           1   15.1   1.3  -
SUPER_7              -          all_tr_seqs          -               16      82 10211687 10211752 10211670 10211774 18636241    +         1.3   14.8   5.2  -
SUPER_3              -          all_tr_seqs          -               20      78   831360   831418   831340   831439 21261719    +         1.3   14.7   4.3  -
SUPER_2              -          all_tr_seqs          -               20      84 16509462 16509525 16509443 16509546 21430524    +         1.4   14.6   4.6  -
SUPER_2              -          all_tr_seqs          -               20      84 16514933 16514996 16514914 16515017 21430524    +         1.4   14.6   4.6  -
SUPER_7              -          all_tr_seqs          -               20      84  2272217  2272280  2272198  2272291 18636241    +         1.7   14.4   4.2  -
SUPER_7              -          all_tr_seqs          -               16      78 10216944 10217006 10216929 10217027 18636241    +         1.7   14.4   5.5  -
SUPER_18             -          all_tr_seqs          -               12      73  6970212  6970151  6970225  6970127 10356277    -         1.8   14.3   2.9  -
SUPER_11             -          all_tr_seqs          -               20      78  7962298  7962240  7962317  7962219 17153086    -         2.3   13.9   4.8  -
SUPER_11             -          all_tr_seqs          -               21      78 11378106 11378049 11378126 11378028 17153086    -         2.3   13.9   5.4  -
SUPER_4              -          all_tr_seqs          -               24      83 17604236 17604298 17604216 17604312 19813990    +         2.6   13.8   1.1  -
SUPER_7              -          all_tr_seqs          -               20      78 14178226 14178284 14178207 14178304 18636241    +         2.6   13.7   4.8  -
