# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_14_HAP2        -          all_tr_seqs          -               17     338  67027084  67026747  67027099  67026741  67615248    -     8.1e-54  191.6   2.0  -
SUPER_12_HAP2        -          all_tr_seqs          -               16     336  73264245  73263965  73264261  73263958  73923233    -     8.9e-26   99.4   0.3  -
SUPER_2_HAP2         -          all_tr_seqs          -               83     226  63818728  63818579  63818751  63818559 110268157    -     1.3e-09   46.2   1.2  -
SUPER_13_HAP2        -          all_tr_seqs          -               18      98  26457269  26457189  26457289  26457188  69580431    -       0.058   21.0   2.0  -
SUPER_6_HAP2         -          all_tr_seqs          -               97     155  16599710  16599775  16599685  16599796  93659276    +       0.069   20.8   3.2  -
SUPER_10_HAP2        -          all_tr_seqs          -               18     144  64731540  64731668  64731522  64731690  83754148    +        0.18   19.4   4.5  -
SUPER_13_HAP2        -          all_tr_seqs          -               17      97  26382023  26381943  26382042  26381941  69580431    -        0.23   19.1   1.5  -
SUPER_12_HAP2        -          all_tr_seqs          -               18     149  50168169  50168322  50168152  50168336  73923233    +        0.28   18.8   5.7  -
SUPER_13_HAP2        -          all_tr_seqs          -               17      98  26832266  26832347  26832247  26832348  69580431    +        0.28   18.8   3.3  -
SUPER_13_HAP2        -          all_tr_seqs          -               17      98  26863736  26863817  26863717  26863818  69580431    +        0.28   18.8   3.3  -
SUPER_13_HAP2        -          all_tr_seqs          -               17      98  26922583  26922664  26922564  26922665  69580431    +        0.28   18.8   3.3  -
SUPER_3_HAP2         -          all_tr_seqs          -               16     131  69498970  69499081  69498952  69499083 111405244    +        0.29   18.7   7.3  -
SUPER_12_HAP2        -          all_tr_seqs          -               83     189  21170323  21170447  21170304  21170467  73923233    +        0.31   18.6   2.6  -
SUPER_11_HAP2        -          all_tr_seqs          -               20      99  80056996  80057073  80056976  80057074  87419265    +        0.48   18.0   3.0  -
SUPER_13_HAP2        -          all_tr_seqs          -               17      97  26419333  26419253  26419352  26419251  69580431    -        0.53   17.9   1.5  -
SUPER_12_HAP2        -          all_tr_seqs          -               16      83  43243705  43243776  43243690  43243796  73923233    +        0.54   17.8   2.1  -
SUPER_13_HAP2        -          all_tr_seqs          -               17      67   6358012   6358062   6357995   6358082  69580431    +         0.8   17.3   2.9  -
SUPER_14_HAP2        -          all_tr_seqs          -               15      71  56950861  56950917  56950845  56950937  67615248    +        0.85   17.2   3.7  -
SUPER_4_HAP2         -          all_tr_seqs          -               16      83  81067954  81068025  81067937  81068045 100056238    +        0.86   17.2   1.5  -
SUPER_1_HAP2         -          all_tr_seqs          -               88     188  73149754  73149647  73149774  73149645 118362060    -        0.86   17.2   1.4  -
SUPER_11_HAP2        -          all_tr_seqs          -               14     106  53714029  53714118  53714016  53714141  87419265    +        0.95   17.0   1.6  -
SUPER_6_HAP2         -          all_tr_seqs          -               12     101  55356308  55356216  55356320  55356214  93659276    -         1.2   16.7   1.8  -
SUPER_4_HAP2         -          all_tr_seqs          -               18     106   7418616   7418533   7418633   7418513 100056238    -         1.3   16.6   1.1  -
SUPER_8_HAP2         -          all_tr_seqs          -              122     188  61512701  61512774  61512680  61512775  88121602    +         1.4   16.4   0.3  -
SUPER_7_HAP2         -          all_tr_seqs          -               16      82  48667322  48667256  48667337  48667233  97298600    -         1.5   16.4   1.7  -
SUPER_12_HAP2        -          all_tr_seqs          -               14      71  49594514  49594571  49594495  49594592  73923233    +         1.6   16.3   2.2  -
SUPER_11_HAP2        -          all_tr_seqs          -               95     188  25348797  25348698  25348817  25348696  87419265    -         1.7   16.2   1.0  -
