# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_3              -          all_tr_seqs          -               19     334 109225118 109224774 109225135 109224764 179978521    -     1.3e-26  102.4   3.1  -
SUPER_1              -          all_tr_seqs          -               19     112   5532437   5532333   5532455   5532276 225552265    -       0.017   23.0   0.8  -
SUPER_5              -          all_tr_seqs          -               20      87  15530015  15530082  15529995  15530089 162389471    +        0.07   21.0   0.6  -
SUPER_9              -          all_tr_seqs          -              139     222  35744189  35744095  35744191  35744075 138791204    -       0.081   20.8   0.2  -
SUPER_9              -          all_tr_seqs          -               17     113  30561218  30561107  30561236  30561087 138791204    -       0.084   20.7   2.9  -
SUPER_2              -          all_tr_seqs          -               18     151   3647797   3647922   3647781   3647948 219752266    +        0.12   20.2   3.5  -
SUPER_8              -          all_tr_seqs          -               16      75  81173815  81173756  81173830  81173735 143034802    -        0.18   19.7   5.5  -
SUPER_2              -          all_tr_seqs          -               20      79  39803412  39803353  39803432  39803333 219752266    -        0.19   19.6   0.9  -
SUPER_4              -          all_tr_seqs          -               19     104 170470634 170470560 170470654 170470552 171773785    -        0.19   19.5   3.5  -
SUPER_4              -          all_tr_seqs          -               16      76 162180122 162180062 162180137 162180042 171773785    -        0.21   19.5   0.5  -
SUPER_2              -          all_tr_seqs          -               19      74  17056908  17056963  17056888  17056982 219752266    +        0.24   19.3   0.6  -
SUPER_1              -          all_tr_seqs          -               24      89  32981502  32981566  32981482  32981579 225552265    +        0.24   19.2   2.5  -
SUPER_8              -          all_tr_seqs          -               20      76 104211447 104211391 104211467 104211369 143034802    -        0.26   19.1   0.7  -
SUPER_6              -          all_tr_seqs          -               20      76 149165373 149165317 149165393 149165297 154876653    -        0.27   19.1   0.9  -
SUPER_4              -          all_tr_seqs          -               19     111 126383066 126383165 126383048 126383200 171773785    +        0.29   19.0   1.4  -
SUPER_5              -          all_tr_seqs          -               20      73  31346898  31346845  31346919  31346824 162389471    -        0.31   18.9   0.6  -
SUPER_6              -          all_tr_seqs          -               20      74 136571402 136571456 136571384 136571477 154876653    +        0.37   18.6   0.3  -
SUPER_3              -          all_tr_seqs          -               18      76  93457126  93457184  93457106  93457204 179978521    +        0.38   18.6   0.9  -
SUPER_7              -          all_tr_seqs          -               53     152  87281955  87281854  87281975  87281841 152087802    -        0.42   18.4   3.2  -
SUPER_1              -          all_tr_seqs          -               47     157   5577403   5577511   5577386   5577521 225552265    +        0.44   18.4   3.5  -
SUPER_4              -          all_tr_seqs          -               20      69  56310669  56310620  56310689  56310600 171773785    -        0.46   18.3   0.6  -
SUPER_7              -          all_tr_seqs          -               19      73 109246014 109246068 109245995 109246091 152087802    +        0.47   18.3   0.6  -
SUPER_3              -          all_tr_seqs          -               20      76 113958164 113958108 113958185 113958088 179978521    -        0.49   18.2   0.6  -
SUPER_7              -          all_tr_seqs          -               20      91    997026    996954    997047    996943 152087802    -         0.5   18.2   0.0  -
SUPER_5              -          all_tr_seqs          -               17      76  15307856  15307797  15307875  15307778 162389471    -        0.57   18.0   1.2  -
SUPER_9              -          all_tr_seqs          -               21      70  52638520  52638569  52638500  52638593 138791204    +        0.62   17.9   0.0  -
SUPER_7              -          all_tr_seqs          -               16      71 108921614 108921559 108921631 108921539 152087802    -        0.63   17.9   3.2  -
SUPER_6              -          all_tr_seqs          -               19      76 119129484 119129541 119129463 119129559 154876653    +        0.64   17.8   1.4  -
SUPER_3              -          all_tr_seqs          -               21      68  37703941  37703988  37703932  37704009 179978521    +        0.65   17.8   0.1  -
SUPER_2              -          all_tr_seqs          -               20      70 148698921 148698871 148698941 148698850 219752266    -        0.65   17.8   0.7  -
SUPER_6              -          all_tr_seqs          -               19      76 149171474 149171531 149171454 149171551 154876653    +        0.66   17.8   1.3  -
SUPER_4              -          all_tr_seqs          -               20      77 138612739 138612796 138612720 138612816 171773785    +        0.67   17.8   3.9  -
SUPER_3              -          all_tr_seqs          -               16      76 156140039 156139979 156140057 156139960 179978521    -        0.68   17.7   0.4  -
SUPER_9              -          all_tr_seqs          -               19      79 125193090 125193030 125193109 125193010 138791204    -         0.7   17.7   1.2  -
SUPER_9              -          all_tr_seqs          -               19      79 125228459 125228399 125228478 125228379 138791204    -         0.7   17.7   1.2  -
SUPER_1              -          all_tr_seqs          -               19      76  91143689  91143746  91143669  91143763 225552265    +        0.73   17.7   1.4  -
SUPER_7              -          all_tr_seqs          -               19      75  27030311  27030367  27030290  27030388 152087802    +        0.74   17.6   0.4  -
SUPER_3              -          all_tr_seqs          -               17     176 144685733 144685910 144685717 144685913 179978521    +        0.76   17.6   1.7  -
SUPER_2              -          all_tr_seqs          -               19      68 177321551 177321600 177321531 177321620 219752266    +        0.77   17.6   0.8  -
SUPER_7              -          all_tr_seqs          -               20      76  79224061  79224005  79224081  79223984 152087802    -        0.79   17.5   0.7  -
SUPER_7              -          all_tr_seqs          -               17      72  99438918  99438973  99438900  99438993 152087802    +         0.8   17.5   0.4  -
SUPER_1              -          all_tr_seqs          -               17      76  93596386  93596445  93596370  93596464 225552265    +         0.8   17.5   0.8  -
SUPER_2              -          all_tr_seqs          -               19      69 177322205 177322255 177322185 177322276 219752266    +         0.8   17.5   1.2  -
SUPER_7              -          all_tr_seqs          -               21      70 135160105 135160056 135160123 135160036 152087802    -        0.88   17.4   0.5  -
SUPER_6              -          all_tr_seqs          -               20      76 153740518 153740462 153740539 153740442 154876653    -        0.91   17.3   0.5  -
SUPER_7              -          all_tr_seqs          -               16      76 130944666 130944726 130944647 130944746 152087802    +        0.92   17.3   1.4  -
SUPER_2              -          all_tr_seqs          -              151     222 196116479 196116554 196116462 196116574 219752266    +        0.93   17.3   1.6  -
SUPER_6              -          all_tr_seqs          -               20      74 122557209 122557155 122557226 122557136 154876653    -        0.94   17.3   0.6  -
SUPER_2              -          all_tr_seqs          -               17      72 139526302 139526357 139526282 139526377 219752266    +        0.95   17.3   1.0  -
SUPER_2              -          all_tr_seqs          -               16      72 111562128 111562184 111562111 111562205 219752266    +        0.98   17.2   2.1  -
SUPER_8              -          all_tr_seqs          -                9      69  14016730  14016790  14016721  14016811 143034802    +        0.98   17.2   0.7  -
SUPER_4              -          all_tr_seqs          -               21      76 123500074 123500129 123500053 123500149 171773785    +           1   17.2   0.4  -
SUPER_4              -          all_tr_seqs          -               18      68 135153032 135153082 135153014 135153103 171773785    +           1   17.1   0.3  -
SUPER_4              -          all_tr_seqs          -               20      70  34613684  34613634  34613704  34613613 171773785    -         1.1   17.1   0.6  -
SUPER_7              -          all_tr_seqs          -               19      72 148231107 148231054 148231124 148231033 152087802    -         1.1   17.1   2.1  -
SUPER_8              -          all_tr_seqs          -               16      73  43981886  43981829  43981901  43981809 143034802    -         1.1   17.1   0.3  -
SUPER_3              -          all_tr_seqs          -               17      71 112131634 112131688 112131617 112131709 179978521    +         1.1   17.0   0.0  -
