# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_3_HAP1         -          all_tr_seqs          -               19     226  88054245  88054502  88054226  88054522 423398136    +     3.8e-10   49.9   4.4  -
SUPER_6_HAP1         -          all_tr_seqs          -               16     228  51208618  51208874  51208602  51208895 366261680    +     2.2e-08   44.1   5.5  -
SUPER_10_HAP1        -          all_tr_seqs          -               12     228 316412459 316412744 316412448 316412764 363372379    +     4.2e-08   43.2   4.4  -
SUPER_14_HAP1        -          all_tr_seqs          -               16      79  14825215  14825278  14825199  14825291 316283738    +       0.064   22.9   4.2  -
SUPER_11_HAP1        -          all_tr_seqs          -               16      79  23504555  23504492  23504571  23504477 344678269    -       0.078   22.6   3.7  -
SUPER_6_HAP1         -          all_tr_seqs          -               12      94 172337808 172337890 172337796 172337910 366261680    +        0.14   21.8   0.9  -
SUPER_1_HAP1         -          all_tr_seqs          -               10      92 341171958 341172040 341171948 341172062 474052302    +        0.19   21.3   0.9  -
SUPER_11_HAP1        -          all_tr_seqs          -               12      93  43598336  43598417  43598324  43598438 344678269    +        0.22   21.1   1.9  -
SUPER_3_HAP1         -          all_tr_seqs          -               17      76  43588691  43588632  43588706  43588615 423398136    -        0.23   21.1   2.4  -
SUPER_6_HAP1         -          all_tr_seqs          -               10      76  14336782  14336716  14336791  14336697 366261680    -        0.23   21.0   2.8  -
SUPER_6_HAP1         -          all_tr_seqs          -               10      76  15617023  15616957  15617032  15616938 366261680    -        0.23   21.0   2.8  -
SUPER_6_HAP1         -          all_tr_seqs          -               18      73  11394585  11394530  11394601  11394510 366261680    -        0.24   21.0   2.6  -
SUPER_5_HAP1         -          all_tr_seqs          -               10      67  23881763  23881706  23881772  23881686 386933812    -        0.25   20.9   1.7  -
SUPER_2_HAP1         -          all_tr_seqs          -               11     100 396546342 396546431 396546331 396546456 441644654    +        0.26   20.9   1.3  -
SUPER_14_HAP1        -          all_tr_seqs          -               18     143 269822077 269822182 269822057 269822202 316283738    +        0.29   20.7   0.0  -
SUPER_9_HAP1         -          all_tr_seqs          -               15      94 140853224 140853303 140853209 140853323 365809739    +        0.29   20.7   2.1  -
SUPER_14_HAP1        -          all_tr_seqs          -               17     143 269921852 269921958 269921834 269921978 316283738    +        0.29   20.7   0.3  -
SUPER_3_HAP1         -          all_tr_seqs          -               16     100 136454714 136454791 136454698 136454811 423398136    +        0.31   20.6   1.5  -
SUPER_11_HAP1        -          all_tr_seqs          -               20      72  23501646  23501594  23501666  23501577 344678269    -        0.34   20.5   3.5  -
SUPER_14_HAP1        -          all_tr_seqs          -               20      72  14827386  14827438  14827366  14827455 316283738    +        0.39   20.3   3.8  -
SUPER_7_HAP1         -          all_tr_seqs          -               10      90 134363263 134363183 134363272 134363178 372735874    -         0.4   20.3   0.8  -
SUPER_11_HAP1        -          all_tr_seqs          -               14      68 271138582 271138636 271138569 271138656 344678269    +        0.41   20.2   2.3  -
SUPER_12_HAP1        -          all_tr_seqs          -               13      94 100042599 100042518 100042612 100042498 320848247    -        0.41   20.2   1.9  -
SUPER_4_HAP1         -          all_tr_seqs          -               13      92 150254861 150254940 150254848 150254962 403268665    +        0.41   20.2   2.1  -
SUPER_3_HAP1         -          all_tr_seqs          -               12     100 290178964 290178876 290178976 290178857 423398136    -        0.42   20.2   2.5  -
SUPER_1_HAP1         -          all_tr_seqs          -               14      99 226167619 226167527 226167633 226167494 474052302    -        0.46   20.1   1.1  -
SUPER_7_HAP1         -          all_tr_seqs          -               13      94 232469629 232469548 232469642 232469528 372735874    -        0.46   20.1   1.8  -
SUPER_9_HAP1         -          all_tr_seqs          -               11      88 270236976 270237053 270236966 270237059 365809739    +        0.48   20.0   0.8  -
SUPER_12_HAP1        -          all_tr_seqs          -               15      94 126572119 126572040 126572134 126572020 320848247    -        0.52   19.9   1.7  -
SUPER_11_HAP1        -          all_tr_seqs          -               10      90 201775164 201775084 201775173 201775079 344678269    -        0.54   19.8   0.8  -
SUPER_3_HAP1         -          all_tr_seqs          -               14      77 260832276 260832213 260832289 260832194 423398136    -        0.57   19.7   1.1  -
SUPER_7_HAP1         -          all_tr_seqs          -              279     339  97332279  97332340  97332270  97332346 372735874    +        0.58   19.7   5.4  -
SUPER_4_HAP1         -          all_tr_seqs          -               10      78  65693770  65693837  65693760  65693854 403268665    +        0.58   19.7   1.5  -
SUPER_3_HAP1         -          all_tr_seqs          -               14      68 406233346 406233292 406233360 406233269 423398136    -        0.58   19.7   1.9  -
SUPER_9_HAP1         -          all_tr_seqs          -               12      91  33637832  33637753  33637845  33637733 365809739    -        0.63   19.6   1.3  -
SUPER_2_HAP1         -          all_tr_seqs          -               19     101 164555434 164555348 164555450 164555346 441644654    -        0.73   19.4   1.3  -
SUPER_14_HAP1        -          all_tr_seqs          -               20      68  14811544  14811592  14811524  14811612 316283738    +        0.76   19.4   3.4  -
SUPER_2_HAP1         -          all_tr_seqs          -               13      83 159208758 159208685 159208770 159208673 441644654    -        0.83   19.2   1.8  -
SUPER_14_HAP1        -          all_tr_seqs          -               15      68 267185345 267185292 267185358 267185272 316283738    -        0.86   19.2   0.4  -
SUPER_1_HAP1         -          all_tr_seqs          -               11      87 124117303 124117227 124117314 124117219 474052302    -        0.88   19.1   0.6  -
SUPER_2_HAP1         -          all_tr_seqs          -               14      78 203914914 203914978 203914899 203914998 441644654    +        0.94   19.0   0.6  -
SUPER_8_HAP1         -          all_tr_seqs          -               12      88   5396815   5396739   5396827   5396732 366688994    -        0.94   19.0   0.5  -
SUPER_11_HAP1        -          all_tr_seqs          -               11      82 144303111 144303040 144303123 144303023 344678269    -        0.96   19.0   1.6  -
SUPER_8_HAP1         -          all_tr_seqs          -               19      89 270097010 270096939 270097028 270096927 366688994    -        0.98   19.0   4.1  -
SUPER_12_HAP1        -          all_tr_seqs          -               12      87 181814014 181814089 181814002 181814096 320848247    +        0.99   19.0   1.0  -
SUPER_4_HAP1         -          all_tr_seqs          -               12      87  58555579  58555654  58555567  58555661 403268665    +        0.99   19.0   1.0  -
SUPER_4_HAP1         -          all_tr_seqs          -               12      87 347655591 347655516 347655603 347655509 403268665    -        0.99   19.0   1.0  -
SUPER_7_HAP1         -          all_tr_seqs          -               12      87 128692989 128693064 128692977 128693071 372735874    +        0.99   19.0   1.0  -
SUPER_8_HAP1         -          all_tr_seqs          -               12      87 174741572 174741647 174741560 174741654 366688994    +        0.99   19.0   1.0  -
SUPER_10_HAP1        -          all_tr_seqs          -               12     109  22121463  22121366  22121475  22121346 363372379    -           1   19.0   0.1  -
SUPER_5_HAP1         -          all_tr_seqs          -               12      94 348831958 348832040 348831945 348832060 386933812    +           1   18.9   1.6  -
