# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_3              -          all_tr_seqs          -               17     333  8288552  8288237  8288568  8288217 68429962    -     5.4e-57  202.0   0.0  -
SUPER_1              -          all_tr_seqs          -               15     333 10229817 10229500 10229832 10229480 71066822    -     8.8e-57  201.3   0.0  -
SUPER_13             -          all_tr_seqs          -               55     144 21317020 21317096 21316999 21317115 41755136    +       0.045   21.3   1.1  -
SUPER_19             -          all_tr_seqs          -               16      72 37301401 37301345 37301419 37301318 40238903    -       0.061   20.9   0.6  -
SUPER_9              -          all_tr_seqs          -               41     170 32897191 32897323 32897184 32897331 46076819    +       0.065   20.8   4.7  -
SUPER_21             -          all_tr_seqs          -               14     117 33803262 33803165 33803275 33803149 36746424    -       0.091   20.3   3.8  -
SUPER_7              -          all_tr_seqs          -               14      72 48941863 48941921 48941846 48941948 51915388    +         0.1   20.1   1.3  -
SUPER_7              -          all_tr_seqs          -               15     104 46983076 46982991 46983090 46982971 51915388    -        0.11   20.0   4.3  -
SUPER_1              -          all_tr_seqs          -               17     102 15999229 15999321 15999214 15999349 71066822    +        0.12   20.0   1.7  -
SUPER_1              -          all_tr_seqs          -               51     169 47172053 47172173 47172036 47172193 71066822    +        0.14   19.7   3.8  -
SUPER_1              -          all_tr_seqs          -               43     173 52897171 52897286 52897160 52897295 71066822    +        0.14   19.7   3.7  -
SUPER_6              -          all_tr_seqs          -               19      86  6440094  6440022  6440116  6439999 56102077    -        0.15   19.6   0.5  -
SUPER_2              -          all_tr_seqs          -               16     121 18364620 18364723 18364605 18364732 71051562    +        0.16   19.5   3.1  -
SUPER_18             -          all_tr_seqs          -               14     117 17769587 17769682 17769573 17769702 40421911    +        0.17   19.5   4.6  -
SUPER_2              -          all_tr_seqs          -               13      72  3345274  3345215  3345288  3345192 71051562    -        0.17   19.4   1.1  -
SUPER_7              -          all_tr_seqs          -               16      72  5892942  5892998  5892925  5893021 51915388    +        0.19   19.2   0.6  -
SUPER_8              -          all_tr_seqs          -               49     158 20356729 20356620 20356752 20356601 51376763    -         0.2   19.2   5.2  -
SUPER_23             -          all_tr_seqs          -               14     123  3054145  3054252  3054132  3054257 36220477    +         0.2   19.2   3.5  -
SUPER_18             -          all_tr_seqs          -               17      72 33903146 33903091 33903165 33903068 40421911    -        0.21   19.1   3.6  -
SUPER_9              -          all_tr_seqs          -               14     107 13162422 13162335 13162436 13162312 46076819    -        0.22   19.0   4.4  -
SUPER_26             -          all_tr_seqs          -               15     108   637039   636945   637053   636926 33327468    -        0.24   19.0   3.9  -
SUPER_9              -          all_tr_seqs          -               14     114 13163133 13163228 13163120 13163247 46076819    +        0.25   18.8   3.9  -
SUPER_7              -          all_tr_seqs          -               15      76  5892756  5892817  5892740  5892840 51915388    +        0.26   18.8   1.6  -
SUPER_12             -          all_tr_seqs          -               14     106  3846217  3846303  3846203  3846324 43914932    +         0.3   18.6   5.3  -
SUPER_14             -          all_tr_seqs          -               54     172 17400093 17400221 17400076 17400239 41688446    +        0.31   18.6   4.5  -
SUPER_3              -          all_tr_seqs          -               47     149 51129958 51130060 51129943 51130081 68429962    +        0.32   18.5   0.6  -
SUPER_4              -          all_tr_seqs          -               15     122 18426421 18426312 18426436 18426297 66656403    -        0.34   18.4   4.2  -
SUPER_3              -          all_tr_seqs          -               15     142 23873105 23873247 23873091 23873255 68429962    +        0.37   18.3   1.6  -
SUPER_1              -          all_tr_seqs          -               16     116 66008584 66008680 66008569 66008694 71066822    +        0.37   18.3   5.2  -
SUPER_23             -          all_tr_seqs          -               14     104  8859142  8859056  8859155  8859036 36220477    -        0.39   18.2   5.3  -
SUPER_5              -          all_tr_seqs          -               40     149  5086985  5086892  5086991  5086871 56706522    -        0.39   18.2   4.0  -
SUPER_14             -          all_tr_seqs          -               16     101 24282709 24282789 24282694 24282811 41688446    +        0.45   18.0   4.0  -
SUPER_23             -          all_tr_seqs          -               14     104  3060169  3060255  3060156  3060276 36220477    +        0.46   18.0   4.3  -
SUPER_9              -          all_tr_seqs          -               14      91 13138938 13139014 13138924 13139044 46076819    +        0.51   17.8   5.2  -
SUPER_9              -          all_tr_seqs          -               14     103 13140378 13140463 13140364 13140484 46076819    +        0.52   17.8   4.5  -
SUPER_3              -          all_tr_seqs          -               15     103 50631129 50631213 50631115 50631228 68429962    +        0.54   17.8   6.4  -
SUPER_18             -          all_tr_seqs          -               14     104 11033249 11033163 11033262 11033142 40421911    -        0.54   17.8   3.5  -
SUPER_6              -          all_tr_seqs          -               18     113 39529034 39529123 39529017 39529140 56102077    +        0.57   17.7   4.0  -
SUPER_6              -          all_tr_seqs          -               17     117 22619080 22618976 22619096 22618957 56102077    -        0.58   17.7   5.8  -
SUPER_24             -          all_tr_seqs          -               14     104  9464960  9465046  9464947  9465066 36098707    +        0.62   17.6   4.5  -
SUPER_18             -          all_tr_seqs          -               14     103 17767613 17767698 17767599 17767719 40421911    +        0.63   17.6   6.7  -
SUPER_20             -          all_tr_seqs          -               14     104 20227802 20227716 20227815 20227696 39131955    -        0.65   17.5   4.8  -
SUPER_9              -          all_tr_seqs          -               14     104 13137965 13137879 13137978 13137859 46076819    -        0.69   17.4   5.3  -
SUPER_21             -          all_tr_seqs          -               94     150 33962870 33962811 33962884 33962793 36746424    -        0.72   17.4   0.0  -
SUPER_2              -          all_tr_seqs          -               14     104 23146650 23146564 23146663 23146544 71051562    -        0.72   17.4   4.7  -
SUPER_17             -          all_tr_seqs          -               15     123 16914119 16914223 16914105 16914231 40503935    +        0.73   17.3   4.0  -
SUPER_5              -          all_tr_seqs          -               13      72  7802440  7802499  7802427  7802523 56706522    +        0.75   17.3   1.0  -
SUPER_1              -          all_tr_seqs          -               14     105  6630147  6630234  6630134  6630248 71066822    +        0.76   17.3   5.0  -
SUPER_26             -          all_tr_seqs          -                8      76  1089302  1089370  1089295  1089393 33327468    +        0.78   17.2   5.1  -
HAP1_SCAFFOLD_531    -          all_tr_seqs          -               14     103    15062    15147    15049    15168    39018    +        0.78   17.2   5.5  -
SUPER_26             -          all_tr_seqs          -               14     103 16293203 16293118 16293216 16293097 33327468    -        0.78   17.2   5.5  -
SUPER_2              -          all_tr_seqs          -               14     104 22971209 22971295 22971196 22971315 71051562    +        0.79   17.2   5.1  -
SUPER_2              -          all_tr_seqs          -               18     106 20997563 20997488 20997583 20997467 71051562    -        0.79   17.2   2.0  -
SUPER_19             -          all_tr_seqs          -               16      89 24268263 24268335 24268248 24268385 40238903    +         0.8   17.2   5.4  -
HAP1_SCAFFOLD_531    -          all_tr_seqs          -               15     102    27847    27930    27833    27950    39018    +        0.84   17.1   4.7  -
SUPER_26             -          all_tr_seqs          -               15     102 16280418 16280335 16280432 16280315 33327468    -        0.84   17.1   4.7  -
SUPER_20             -          all_tr_seqs          -               14     103 16771922 16772007 16771909 16772027 39131955    +        0.85   17.1   4.8  -
SUPER_2              -          all_tr_seqs          -               14     104 14541457 14541371 14541470 14541351 71051562    -        0.86   17.1   4.5  -
SUPER_2              -          all_tr_seqs          -               17     104 16258002 16257919 16258018 16257899 71051562    -        0.89   17.1   4.6  -
SUPER_23             -          all_tr_seqs          -               16     104 20023943 20023859 20023958 20023839 36220477    -        0.89   17.1   4.8  -
SUPER_25             -          all_tr_seqs          -               14     104 16955383 16955469 16955370 16955489 33773108    +        0.92   17.0   6.5  -
SUPER_21             -          all_tr_seqs          -               14     104 18429525 18429439 18429538 18429419 36746424    -        0.93   17.0   6.1  -
SUPER_7              -          all_tr_seqs          -               14      73 48947465 48947524 48947453 48947543 51915388    +        0.97   16.9   1.1  -
SUPER_2              -          all_tr_seqs          -               15     122 12334417 12334521 12334403 12334527 71051562    +         1.1   16.8   3.4  -
SUPER_5              -          all_tr_seqs          -               14     104   930121   930035   930134   930015 56706522    -         1.1   16.8   5.6  -
SUPER_25             -          all_tr_seqs          -               17     104 10546128 10546045 10546144 10546025 33773108    -         1.1   16.8   5.2  -
SUPER_1              -          all_tr_seqs          -               18     120 60356354 60356244 60356372 60356226 71066822    -         1.1   16.8   6.0  -
SUPER_13             -          all_tr_seqs          -               15     104  7882596  7882511  7882611  7882491 41755136    -         1.2   16.7   4.9  -
SUPER_6              -          all_tr_seqs          -               14     104 16854637 16854723 16854624 16854742 56102077    +         1.2   16.7   5.8  -
SUPER_15             -          all_tr_seqs          -               14     104 34255780 34255694 34255793 34255674 41285589    -         1.2   16.6   6.0  -
SUPER_2              -          all_tr_seqs          -               14     103 14548179 14548094 14548192 14548073 71051562    -         1.2   16.6   5.3  -
SUPER_1              -          all_tr_seqs          -               34     157 42668435 42668322 42668439 42668310 71066822    -         1.3   16.5   8.0  -
SUPER_6              -          all_tr_seqs          -               55     172 38800573 38800447 38800592 38800427 56102077    -         1.3   16.5   4.3  -
SUPER_7              -          all_tr_seqs          -               15      72  8299339  8299282  8299353  8299260 51915388    -         1.4   16.4   1.1  -
SUPER_2              -          all_tr_seqs          -               17     104 49976838 49976755 49976854 49976735 71051562    -         1.4   16.4   4.9  -
SUPER_9              -          all_tr_seqs          -               18      93 39361949 39362024 39361932 39362050 46076819    +         1.4   16.4   7.4  -
SUPER_9              -          all_tr_seqs          -               14     103 13161018 13160933 13161031 13160912 46076819    -         1.4   16.4   6.0  -
SUPER_26             -          all_tr_seqs          -               17      99  6983927  6983866  6983945  6983851 33327468    -         1.5   16.3   3.0  -
SUPER_5              -          all_tr_seqs          -               16      96 15570905 15570825 15570920 15570801 56706522    -         1.6   16.3   4.7  -
SUPER_5              -          all_tr_seqs          -               45     177 11019181 11019306 11019168 11019308 56706522    +         1.6   16.2   3.7  -
SUPER_17             -          all_tr_seqs          -               16      74  6187311  6187253  6187327  6187232 40503935    -         1.6   16.2   4.4  -
SUPER_1              -          all_tr_seqs          -               15     106  7140144  7140236  7140130  7140256 71066822    +         1.7   16.1   3.9  -
SUPER_4              -          all_tr_seqs          -               14     102 41460925 41460843 41460938 41460822 66656403    -         1.7   16.1   5.4  -
SUPER_17             -          all_tr_seqs          -               14     104  8242705  8242791  8242691  8242811 40503935    +         1.8   16.0   5.4  -
SUPER_2              -          all_tr_seqs          -               14     104   521477   521562   521464   521590 71051562    +         1.9   16.0   3.8  -
SUPER_15             -          all_tr_seqs          -               14     104 29260985 29260899 29260998 29260879 41285589    -         1.9   16.0   5.5  -
SUPER_10             -          all_tr_seqs          -              182     258  4978376  4978478  4978355  4978498 44608883    +         1.9   16.0   0.0  -
SUPER_8              -          all_tr_seqs          -               17     102 11194113 11194022 11194130 11194002 51376763    -         1.9   15.9   5.4  -
SUPER_1              -          all_tr_seqs          -               19      78 53123176 53123235 53123158 53123255 71066822    +           2   15.9   9.9  -
SUPER_24             -          all_tr_seqs          -               63     172 35132583 35132703 35132551 35132723 36098707    +           2   15.9   5.8  -
SUPER_5              -          all_tr_seqs          -               18     104 44344281 44344363 44344261 44344383 56706522    +           2   15.9   6.0  -
SUPER_26             -          all_tr_seqs          -               20      80 27053930 27053870 27053950 27053852 33327468    -           2   15.9  10.0  -
SUPER_9              -          all_tr_seqs          -               50     171 30632376 30632248 30632396 30632227 46076819    -         2.1   15.9   6.2  -
SUPER_23             -          all_tr_seqs          -               17     103 26437929 26437848 26437945 26437827 36220477    -         2.1   15.8   5.3  -
SUPER_5              -          all_tr_seqs          -               14     104 45231424 45231510 45231411 45231531 56706522    +         2.1   15.8   6.6  -
SUPER_5              -          all_tr_seqs          -               17      71  9487280  9487334  9487263  9487357 56706522    +         2.2   15.7   1.1  -
SUPER_1              -          all_tr_seqs          -               16      79 44082081 44082144 44082065 44082163 71066822    +         2.3   15.7  11.1  -
SUPER_1              -          all_tr_seqs          -               16     103 58846346 58846263 58846361 58846241 71066822    -         2.4   15.7   5.3  -
SUPER_17             -          all_tr_seqs          -               13     104  4661893  4661807  4661905  4661787 40503935    -         2.5   15.6   4.3  -
SUPER_4              -          all_tr_seqs          -               15     113 61276486 61276578 61276472 61276595 66656403    +         2.5   15.6   4.3  -
SUPER_26             -          all_tr_seqs          -               20      72  7027134  7027082  7027153  7027061 33327468    -         2.5   15.6   2.3  -
SUPER_8              -          all_tr_seqs          -               18     106 37613698 37613773 37613680 37613792 51376763    +         2.6   15.5   1.8  -
SUPER_2              -          all_tr_seqs          -               18      79 27039345 27039284 27039363 27039265 71051562    -         2.6   15.5   9.7  -
SUPER_6              -          all_tr_seqs          -               17     104 52492652 52492569 52492669 52492549 56102077    -         2.6   15.5   4.1  -
SUPER_23             -          all_tr_seqs          -               16     102  5681196  5681115  5681211  5681093 36220477    -         2.6   15.5   4.3  -
SUPER_5              -          all_tr_seqs          -               18     108 49310675 49310758 49310658 49310779 56706522    +         2.6   15.5   5.5  -
SUPER_8              -          all_tr_seqs          -               19     109 11869305 11869221 11869323 11869201 51376763    -         2.7   15.5   5.9  -
SUPER_7              -          all_tr_seqs          -               17     104 13957158 13957075 13957174 13957054 51915388    -         2.7   15.5   4.9  -
SUPER_23             -          all_tr_seqs          -               15     103 11669906 11669823 11669920 11669802 36220477    -         2.7   15.5   3.8  -
SUPER_13             -          all_tr_seqs          -               15      72 36130363 36130306 36130378 36130285 41755136    -         2.7   15.5   0.7  -
SUPER_24             -          all_tr_seqs          -              182     274 16989795 16989713 16989803 16989692 36098707    -         2.7   15.5   2.2  -
SUPER_2              -          all_tr_seqs          -               18     106 20998019 20997944 20998037 20997924 71051562    -         2.7   15.5   2.4  -
SUPER_11             -          all_tr_seqs          -               15     104 22603286 22603370 22603272 22603390 44391038    +         2.7   15.4   4.4  -
SUPER_11             -          all_tr_seqs          -               17      90 19906497 19906424 19906514 19906407 44391038    -         2.8   15.4   4.8  -
SUPER_10             -          all_tr_seqs          -               15     103 12205726 12205643 12205740 12205622 44608883    -         2.8   15.4   4.2  -
SUPER_3              -          all_tr_seqs          -               15     103 23860439 23860522 23860425 23860543 68429962    +         2.8   15.4   4.2  -
SUPER_5              -          all_tr_seqs          -               15     103 41391268 41391351 41391254 41391372 56706522    +         2.8   15.4   4.2  -
SUPER_5              -          all_tr_seqs          -               15     103 41397265 41397348 41397251 41397369 56706522    +         2.8   15.4   4.2  -
SUPER_1              -          all_tr_seqs          -               16     102 63813002 63813083 63812987 63813104 71066822    +         2.8   15.4   4.3  -
SUPER_1              -          all_tr_seqs          -               16     102 63819266 63819347 63819251 63819368 71066822    +         2.8   15.4   4.3  -
SUPER_10             -          all_tr_seqs          -               16     102   525308   525227   525323   525206 44608883    -         2.8   15.4   4.3  -
SUPER_10             -          all_tr_seqs          -               16     102   531500   531419   531515   531398 44608883    -         2.8   15.4   4.3  -
SUPER_16             -          all_tr_seqs          -               16     102  4951264  4951345  4951249  4951366 40931602    +         2.8   15.4   4.3  -
SUPER_16             -          all_tr_seqs          -               16     102  4957439  4957520  4957424  4957541 40931602    +         2.8   15.4   4.3  -
SUPER_17             -          all_tr_seqs          -               16     102 10633848 10633929 10633833 10633950 40503935    +         2.8   15.4   4.3  -
SUPER_19             -          all_tr_seqs          -               16     102 38215918 38215999 38215903 38216020 40238903    +         2.8   15.4   4.3  -
SUPER_19             -          all_tr_seqs          -               16     102 38222208 38222289 38222193 38222310 40238903    +         2.8   15.4   4.3  -
SUPER_2              -          all_tr_seqs          -               16     102  1018613  1018694  1018598  1018715 71051562    +         2.8   15.4   4.3  -
SUPER_2              -          all_tr_seqs          -               16     102 65286091 65286010 65286106 65285989 71051562    -         2.8   15.4   4.3  -
SUPER_2              -          all_tr_seqs          -               16     102 65292268 65292187 65292283 65292166 71051562    -         2.8   15.4   4.3  -
SUPER_22             -          all_tr_seqs          -               16     102 24115464 24115383 24115479 24115362 36289316    -         2.8   15.4   4.3  -
