# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          all_tr_seqs          -               19     332  5178495  5178800  5178479  5178804 25114158    +     4.1e-29  107.6   0.3  -
SUPER_3              -          all_tr_seqs          -               19     122  4623564  4623456  4623583  4623443 25026557    -     6.3e-05   28.0   7.1  -
SUPER_6              -          all_tr_seqs          -               23     223  9212534  9212329  9212554  9212311 19977585    -     0.00013   26.9   7.4  -
SUPER_5              -          all_tr_seqs          -               16     112  1001821  1001725  1001836  1001713 20523081    -     0.00048   25.1   5.5  -
SUPER_5              -          all_tr_seqs          -               21     112 14171861 14171768 14171881 14171755 20523081    -     0.00076   24.5   7.6  -
SUPER_2              -          all_tr_seqs          -               22     117  9810158  9810255  9810138  9810272 25114158    +      0.0016   23.4   5.6  -
SUPER_7              -          all_tr_seqs          -               22     120  9238691  9238592  9238708  9238577 19961881    -      0.0017   23.3   4.7  -
SUPER_5              -          all_tr_seqs          -               22     113  1064989  1064899  1065009  1064879 20523081    -      0.0025   22.8  10.9  -
SUPER_5              -          all_tr_seqs          -               22     113  1061991  1061901  1062012  1061881 20523081    -      0.0031   22.5  11.0  -
SUPER_5              -          all_tr_seqs          -               16     110  1002928  1002834  1002944  1002822 20523081    -      0.0044   22.0   5.2  -
SUPER_5              -          all_tr_seqs          -               23     112 14227644 14227546 14227664 14227533 20523081    -      0.0088   21.0  10.6  -
SUPER_2              -          all_tr_seqs          -               20     112  3716156  3716064  3716175  3716048 25114158    -      0.0094   20.9   5.4  -
SUPER_5              -          all_tr_seqs          -               22     113  1060752  1060662  1060772  1060642 20523081    -       0.013   20.4  12.0  -
SUPER_8              -          all_tr_seqs          -               23     113  9244180  9244090  9244200  9244070 18912984    -       0.015   20.2  12.3  -
SUPER_5              -          all_tr_seqs          -               21     103 14261732 14261815 14261712 14261835 20523081    +       0.019   19.9   7.4  -
SUPER_4              -          all_tr_seqs          -               20     113 21200992 21201085 21200973 21201103 22555374    +       0.021   19.7  11.4  -
SUPER_6              -          all_tr_seqs          -               22     116 11177951 11177856 11177971 11177837 19977585    -       0.032   19.1   7.1  -
SUPER_5              -          all_tr_seqs          -               23     116 14259233 14259327 14259213 14259338 20523081    +       0.062   18.2   8.7  -
SUPER_5              -          all_tr_seqs          -               22     116  1819838  1819744  1819858  1819725 20523081    -       0.078   17.8   7.9  -
SUPER_2              -          all_tr_seqs          -               21     111 15023365 15023269 15023385 15023248 25114158    -       0.089   17.7   7.4  -
SUPER_6              -          all_tr_seqs          -               20     113 12199118 12199211 12199098 12199229 19977585    +       0.095   17.6  11.6  -
SUPER_6              -          all_tr_seqs          -               22     115  2918872  2918966  2918852  2918973 19977585    +       0.096   17.6   7.8  -
SUPER_6              -          all_tr_seqs          -               22     121  9352172  9352072  9352192  9352051 19977585    -         0.1   17.5   8.1  -
SUPER_6              -          all_tr_seqs          -               22     114  2912335  2912428  2912317  2912436 19977585    +        0.11   17.4   7.9  -
SUPER_2              -          all_tr_seqs          -               20     112  3711789  3711698  3711808  3711686 25114158    -        0.17   16.7   4.5  -
SUPER_5              -          all_tr_seqs          -               22     113 14260255 14260346 14260235 14260366 20523081    +        0.17   16.7   9.9  -
SUPER_2              -          all_tr_seqs          -               22     113  3758725  3758635  3758745  3758621 25114158    -        0.19   16.5   4.3  -
SUPER_3              -          all_tr_seqs          -               20      76 20511879 20511823 20511899 20511801 25026557    -         0.2   16.5   1.6  -
SUPER_2              -          all_tr_seqs          -               20     113  3756260  3756168  3756279  3756159 25114158    -         0.2   16.5   3.3  -
SUPER_5              -          all_tr_seqs          -               20      76  1643058  1643002  1643078  1642981 20523081    -        0.22   16.4   5.8  -
SUPER_6              -          all_tr_seqs          -               23     113  9154538  9154448  9154556  9154426 19977585    -        0.26   16.1  12.5  -
SUPER_3              -          all_tr_seqs          -              127     183  1918874  1918927  1918854  1918930 25026557    +        0.39   15.5   1.3  -
SUPER_3              -          all_tr_seqs          -               21      83 21219936 21220000 21219916 21220014 25026557    +        0.39   15.5   3.1  -
SUPER_2              -          all_tr_seqs          -               20     112  3720194  3720104  3720213  3720093 25114158    -        0.42   15.4   5.8  -
SUPER_4              -          all_tr_seqs          -               40     149  4991541  4991432  4991548  4991408 22555374    -        0.44   15.4   0.3  -
SUPER_6              -          all_tr_seqs          -               22     112 13392857 13392951 13392837 13392972 19977585    +        0.52   15.1   5.3  -
SUPER_2              -          all_tr_seqs          -               20     112  3723581  3723490  3723600  3723478 25114158    -        0.66   14.8   4.2  -
SUPER_5              -          all_tr_seqs          -               59     144 15352486 15352581 15352466 15352601 20523081    +         0.7   14.7   3.3  -
SUPER_1              -          all_tr_seqs          -               18     112 26779118 26779024 26779137 26779008 27983478    -        0.74   14.6   8.3  -
SUPER_2              -          all_tr_seqs          -               17     113  3721473  3721376  3721490  3721358 25114158    -        0.77   14.6   5.8  -
SUPER_4              -          all_tr_seqs          -               17      64  5169168  5169215  5169148  5169237 22555374    +        0.97   14.2   0.7  -
SUPER_2              -          all_tr_seqs          -               20     106 15018897 15018987 15018878 15019008 25114158    +         1.1   14.1   9.4  -
SUPER_2              -          all_tr_seqs          -               20     112  3713788  3713697  3713807  3713685 25114158    -         1.1   14.1   4.9  -
SUPER_4              -          all_tr_seqs          -               19     113 18734304 18734401 18734285 18734421 22555374    +         1.2   13.9   7.9  -
SUPER_3              -          all_tr_seqs          -               21      97 21212728 21212804 21212709 21212806 25026557    +         1.2   13.9   1.1  -
SUPER_1              -          all_tr_seqs          -               20      68  5605563  5605515  5605582  5605494 27983478    -         1.3   13.8   4.0  -
SUPER_1              -          all_tr_seqs          -               21     117  4907530  4907630  4907510  4907644 27983478    +         1.4   13.7   7.9  -
SUPER_7              -          all_tr_seqs          -               13      65 13052814 13052762 13052828 13052735 19961881    -         1.4   13.7   0.6  -
SUPER_6              -          all_tr_seqs          -               17      87 15948504 15948575 15948485 15948587 19977585    +         1.4   13.7   2.6  -
SUPER_6              -          all_tr_seqs          -               22     106  8052089  8052001  8052109  8051977 19977585    -         1.5   13.7   4.9  -
SUPER_5              -          all_tr_seqs          -               20     106 11453481 11453392 11453500 11453372 20523081    -         1.5   13.6   7.7  -
SUPER_3              -          all_tr_seqs          -               21      98  3568237  3568160  3568257  3568159 25026557    -         1.6   13.6   4.7  -
