# target name        accession  query name                                                                                              accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ----------                                                                                    -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -              232    1722 182535301 182537661 182535298 182537682 262145582    +     5.6e-90  308.1  58.9  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -              232    1722  71806778  71809116  71806774  71809137 262145582    +     1.5e-88  303.3  59.5  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -              232    1722  72143676  72145983  72143675  72146003 262145582    +     1.2e-81  280.5  55.6  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -              388    1722  71738282  71740405  71738262  71740426 262145582    +     2.7e-81  279.3  46.9  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -              232    1460  71842677  71844349  71842673  71844351 262145582    +     1.1e-62  217.5  52.3  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -              548    1554  71946767  71948341  71946766  71948362 262145582    +       1e-55  194.5  35.1  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -             1500    1722  71844947  71845422  71844925  71845443 262145582    +     2.6e-17   67.1   8.8  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -             1586    1722  71950169  71950305  71950149  71950326 262145582    +     1.2e-06   31.8   7.6  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -             1539    1682 182535168 182535287 182535160 182535299 262145582    +       0.012   18.5   4.4  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -              232     430  71946495  71946768  71946493  71946774 262145582    +       0.015   18.2   9.5  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -             1539    1682  72143543  72143662  72143535  72143673 262145582    +       0.024   17.5   4.9  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -             1539    1681  71806645  71806763  71806636  71806775 262145582    +       0.038   16.9   5.8  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -             1539    1681  71946362  71946480  71946353  71946492 262145582    +       0.042   16.7   5.5  -
SUPER_7_HAP1         -          plant_TERT_cdhit.faa.telomerase_reverse_transcriptase_isoform_X1_[Nicotiana_sylvestris]_as_nucl_aligned -             1539    1679  71842544  71842660  71842537  71842673 262145582    +        0.42   13.4   4.8  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/inputs/clusters/isoform_X1_tert.hmm
# Target file:     /data/tol/data/darwin/dicots/Euphorbia_amygdaloides/assembly/curated/ddEupAmyg1.1/ddEupAmyg1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/outputs/tert_tbls/Euphorbia_amygdaloides/Euphorbia_amygdaloides_isoformx1.tbl --dna --cpu 20 /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/inputs/clusters/isoform_X1_tert.hmm /data/tol/data/darwin/dicots/Euphorbia_amygdaloides/assembly/curated/ddEupAmyg1.1/ddEupAmyg1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert
# Date:            Tue Sep 15 08:38:48 2026
# [ok]
