# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_9              -          all_tr_seqs          -               20     338 55436003 55436367 55435984 55436375 59061192    +     7.6e-29  108.6   4.5  -
SUPER_8              -          all_tr_seqs          -               17     341 52167611 52167910 52167593 52167930 59637932    +     3.1e-07   37.5   3.7  -
SUPER_8              -          all_tr_seqs          -               16     337 52157467 52157764 52157452 52157773 59637932    +     1.7e-06   35.1   3.1  -
SUPER_8              -          all_tr_seqs          -               16     335 52164084 52164379 52164067 52164386 59637932    +     4.6e-06   33.7   3.3  -
SUPER_8              -          all_tr_seqs          -               16     334 52154010 52154303 52153995 52154313 59637932    +     3.9e-05   30.6   3.2  -
SUPER_7              -          all_tr_seqs          -               18     126 13408490 13408613 13408470 13408633 62485261    +     0.00067   26.5   4.7  -
SUPER_1              -          all_tr_seqs          -               20     111  8143078  8143167  8143060  8143187 86455618    +      0.0016   25.3   4.1  -
SUPER_1              -          all_tr_seqs          -               20     111  8174836  8174925  8174815  8174945 86455618    +      0.0019   25.1   4.7  -
SUPER_2              -          all_tr_seqs          -               18     122  3605290  3605171  3605310  3605157 72175762    -       0.007   23.2   2.9  -
SUPER_8              -          all_tr_seqs          -               19     104 42249164 42249076 42249183 42249056 59637932    -        0.01   22.7   3.9  -
SUPER_3              -          all_tr_seqs          -               19     116 17258821 17258931 17258801 17258952 71368381    +       0.011   22.5   1.7  -
SUPER_3              -          all_tr_seqs          -               20     116 17240394 17240503 17240374 17240524 71368381    +       0.019   21.8   1.9  -
SUPER_6              -          all_tr_seqs          -               20     111 33697205 33697309 33697186 33697329 58751991    +       0.027   21.2   1.7  -
SUPER_10             -          all_tr_seqs          -               20     122  4215106  4215217  4215089  4215236 53993073    +       0.028   21.2   1.1  -
SUPER_11             -          all_tr_seqs          -               44     203 33794571 33794718 33794556 33794733 47178961    +       0.029   21.2   1.4  -
SUPER_7              -          all_tr_seqs          -               13     104 56766183 56766076 56766198 56766056 62485261    -       0.041   20.6   2.3  -
SUPER_8              -          all_tr_seqs          -               18     116 37159975 37159864 37159993 37159844 59637932    -       0.047   20.5   2.7  -
SUPER_1              -          all_tr_seqs          -               20     120  8064174  8064055  8064195  8064035 86455618    -       0.048   20.4   4.2  -
SUPER_10             -          all_tr_seqs          -               19      91 46705957 46705883 46705977 46705836 53993073    -       0.049   20.4   2.0  -
HAP2_SCAFFOLD_148    -          all_tr_seqs          -               19     112     1280     1174     1298     1155    49216    -       0.063   20.1   2.4  -
SUPER_3              -          all_tr_seqs          -               19     112 67329152 67329258 67329134 67329277 71368381    +       0.063   20.1   2.4  -
SUPER_2              -          all_tr_seqs          -               18     117 28399482 28399600 28399464 28399620 72175762    +       0.064   20.0   3.1  -
SUPER_10             -          all_tr_seqs          -               19     122 27253318 27253439 27253298 27253458 53993073    +       0.066   20.0   2.2  -
SUPER_1              -          all_tr_seqs          -               42     198 34883075 34882937 34883088 34882910 86455618    -       0.067   20.0   0.2  -
SUPER_9              -          all_tr_seqs          -               40     216 48576836 48576678 48576847 48576667 59061192    -        0.07   19.9   1.0  -
SUPER_6              -          all_tr_seqs          -               20     104 54968309 54968209 54968327 54968191 58751991    -       0.071   19.9   1.0  -
SUPER_1              -          all_tr_seqs          -               19     112  8079163  8079051  8079184  8079031 86455618    -       0.074   19.8   4.3  -
SUPER_6              -          all_tr_seqs          -               20     111 54954424 54954320 54954444 54954300 58751991    -       0.077   19.8   1.4  -
SUPER_6              -          all_tr_seqs          -               20     111 54959053 54958949 54959073 54958929 58751991    -       0.077   19.8   1.4  -
SUPER_6              -          all_tr_seqs          -               20     111 54963681 54963577 54963701 54963557 58751991    -       0.077   19.8   1.4  -
SUPER_2              -          all_tr_seqs          -               20     104 39999718 39999818 39999699 39999839 72175762    +       0.078   19.7   1.2  -
SUPER_7              -          all_tr_seqs          -               19     110 56742062 56742158 56742041 56742178 62485261    +        0.08   19.7   2.3  -
SUPER_4              -          all_tr_seqs          -               54     150 33680612 33680531 33680633 33680511 69526942    -        0.08   19.7   3.2  -
SUPER_3              -          all_tr_seqs          -               21     111 67717576 67717679 67717557 67717699 71368381    +       0.082   19.7   1.3  -
SUPER_6              -          all_tr_seqs          -               17     111 32380525 32380632 32380508 32380652 58751991    +       0.083   19.7   1.5  -
SUPER_5              -          all_tr_seqs          -               19     116 21673330 21673220 21673348 21673204 70573785    -       0.086   19.6   1.0  -
