# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_13             -          all_tr_seqs          -               15     333  9346625  9346307  9346641  9346287 32985215    -     4.3e-57  201.2   0.1  -
SUPER_10             -          all_tr_seqs          -               18     100 19055660 19055747 19055641 19055767 34366503    +       0.044   20.2   2.5  -
SUPER_4              -          all_tr_seqs          -               15      72  5952899  5952956  5952882  5952980 44399210    +       0.055   19.9   0.8  -
SUPER_3              -          all_tr_seqs          -               60     171  9937156  9937028  9937179  9937025 52809252    -       0.083   19.3   1.9  -
SUPER_1              -          all_tr_seqs          -               15     141 16857520 16857658 16857506 16857668 64748220    +        0.11   19.0   4.0  -
SUPER_6              -          all_tr_seqs          -               46     172 20278411 20278286 20278430 20278276 40156598    -        0.11   18.8   3.8  -
SUPER_1              -          all_tr_seqs          -               15     123 20190339 20190237 20190353 20190223 64748220    -        0.12   18.7   3.5  -
SUPER_1              -          all_tr_seqs          -               14     113 16896250 16896344 16896237 16896364 64748220    +        0.13   18.6   4.6  -
SUPER_12             -          all_tr_seqs          -               14     103 25533942 25534027 25533929 25534048 33405154    +        0.13   18.6   4.5  -
SUPER_2              -          all_tr_seqs          -               16      77 59659665 59659604 59659683 59659584 63808758    -        0.13   18.6   1.2  -
SUPER_9              -          all_tr_seqs          -               15     104 26882953 26882868 26882967 26882848 34704365    -        0.18   18.2   4.3  -
SUPER_7              -          all_tr_seqs          -               16     104 23664550 23664634 23664535 23664655 35936868    +         0.2   18.0   4.0  -
SUPER_9              -          all_tr_seqs          -               15     104 26535906 26535821 26535920 26535800 34704365    -        0.21   18.0   4.2  -
SUPER_4              -          all_tr_seqs          -               13     104 21846540 21846453 21846552 21846433 44399210    -        0.23   17.9   4.5  -
SUPER_8              -          all_tr_seqs          -               16     134 19637370 19637243 19637385 19637196 35520055    -        0.25   17.7   3.8  -
SUPER_9              -          all_tr_seqs          -               14     103  2206883  2206968  2206870  2206989 34704365    +        0.26   17.7   5.1  -
SUPER_2              -          all_tr_seqs          -               14     103 58380488 58380403 58380501 58380382 63808758    -        0.26   17.7   4.7  -
SUPER_1              -          all_tr_seqs          -               15     104  9898271  9898356  9898257  9898376 64748220    +        0.29   17.5   4.2  -
SUPER_9              -          all_tr_seqs          -               15     103 26864782 26864698 26864796 26864678 34704365    -         0.3   17.5   4.1  -
SUPER_1              -          all_tr_seqs          -               43     220 29251731 29251889 29251712 29251909 64748220    +         0.3   17.4   2.6  -
SUPER_11             -          all_tr_seqs          -               16     104  8471337  8471253  8471352  8471232 33716773    -        0.33   17.3   6.5  -
SUPER_1              -          all_tr_seqs          -              116     209  6369533  6369422  6369546  6369419 64748220    -        0.33   17.3   3.5  -
SUPER_5              -          all_tr_seqs          -               48     160 17077595 17077476 17077614 17077462 42409405    -        0.33   17.3   4.5  -
SUPER_7              -          all_tr_seqs          -               14     104 27084480 27084394 27084493 27084374 35936868    -        0.36   17.2   5.2  -
SUPER_4              -          all_tr_seqs          -               14     103  8004715  8004800  8004702  8004820 44399210    +        0.37   17.1   5.1  -
SUPER_13             -          all_tr_seqs          -               18      70 10239538 10239590 10239520 10239612 32985215    +        0.38   17.1   3.5  -
SUPER_13             -          all_tr_seqs          -               18      91  1930852  1930779  1930869  1930757 32985215    -        0.44   16.9   6.1  -
SUPER_12             -          all_tr_seqs          -               15     104 13188151 13188066 13188165 13188046 33405154    -        0.48   16.8   4.8  -
SUPER_13             -          all_tr_seqs          -               17      69 10295114 10295166 10295096 10295189 32985215    +        0.53   16.6   3.7  -
