# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_3              -          all_tr_seqs          -               20     335  34357576  34357904  34357557  34357914  91057210    +     3.3e-49  175.5   3.4  -
SUPER_1              -          all_tr_seqs          -               16     149  74393989  74394103  74393974  74394123 123262610    +     0.00055   26.7   3.3  -
SUPER_4              -          all_tr_seqs          -              206     276  57370952  57370876  57370964  57370856  84783769    -      0.0015   25.3   0.0  -
SUPER_3              -          all_tr_seqs          -               19     214  69655547  69655759  69655530  69655768  91057210    +      0.0028   24.4   2.0  -
SUPER_2              -          all_tr_seqs          -               13     207  74579780  74579961  74579765  74579966 100998023    +      0.0032   24.2   1.7  -
SUPER_3              -          all_tr_seqs          -               13     208  75423461  75423645  75423449  75423650  91057210    +      0.0038   24.0   1.9  -
SUPER_3              -          all_tr_seqs          -               14     149    208705    208818    208691    208838  91057210    +      0.0081   22.9   3.1  -
SUPER_6              -          all_tr_seqs          -               17     112  78566486  78566393  78566503  78566373  79837674    -        0.01   22.6   4.7  -
SUPER_5              -          all_tr_seqs          -               13     116  39948782  39948882  39948768  39948896  81741832    +       0.017   21.8   3.2  -
SUPER_8              -          all_tr_seqs          -               14     192  29120108  29119946  29120123  29119932  53774613    -       0.022   21.4   2.0  -
SUPER_4              -          all_tr_seqs          -               16     112  19873114  19873208  19873095  19873228  84783769    +       0.023   21.4   1.1  -
SUPER_2              -          all_tr_seqs          -               15     112  79820659  79820754  79820644  79820774 100998023    +       0.028   21.1   0.8  -
SUPER_3              -          all_tr_seqs          -               14     138  57976858  57976740  57976872  57976728  91057210    -       0.029   21.1   1.1  -
SUPER_1              -          all_tr_seqs          -               15     116   3542640   3542542   3542656   3542522 123262610    -        0.03   21.0   1.8  -
SUPER_4              -          all_tr_seqs          -               16     112  19872898  19872992  19872881  19873012  84783769    +       0.031   21.0   1.0  -
SUPER_4              -          all_tr_seqs          -               16     112    366820    366726    366836    366705  84783769    -       0.031   21.0   1.1  -
SUPER_2              -          all_tr_seqs          -               16     112  78439903  78439809  78439919  78439789 100998023    -       0.031   21.0   1.1  -
SUPER_4              -          all_tr_seqs          -               15     117  81766531  81766432  81766547  81766412  84783769    -       0.037   20.7   1.5  -
SUPER_6              -          all_tr_seqs          -               19     109  68320874  68320961  68320853  68320998  79837674    +       0.039   20.6   2.4  -
SUPER_7              -          all_tr_seqs          -               14     199   6782244   6782072   6782262   6782061  62843876    -       0.041   20.6   1.1  -
SUPER_6              -          all_tr_seqs          -               16     112  76770184  76770278  76770165  76770300  79837674    +       0.042   20.5   1.0  -
SUPER_3              -          all_tr_seqs          -               20      98  31708575  31708510  31708595  31708492  91057210    -       0.044   20.5   4.0  -
SUPER_2              -          all_tr_seqs          -               16     112  79820876  79820970  79820857  79820990 100998023    +       0.044   20.5   1.8  -
SUPER_4              -          all_tr_seqs          -               18      87  74048625  74048566  74048644  74048549  84783769    -       0.045   20.5   5.4  -
SUPER_6              -          all_tr_seqs          -               16     112  76769968  76770062  76769951  76770082  79837674    +       0.045   20.4   1.0  -
