# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_3              -          TR                   -                1     316  36672239  36671907  36672239  36671906 109190368    -     6.2e-12   54.4   8.7  -
SUPER_11             -          TR                   -                1     315  42366153  42366487  42366153  42366489  97540974    +     6.6e-09   44.5   5.7  -
SUPER_11             -          TR                   -                2     125  43529202  43529087  43529203  43529067  97540974    -         0.3   19.3   5.5  -
SUPER_5              -          TR                   -                1      94  29683916  29684051  29683916  29684066 111420786    +        0.48   18.7   3.2  -
SUPER_5              -          TR                   -              106     200  76685370  76685489  76685349  76685509 111420786    +        0.57   18.4   2.2  -
SUPER_8              -          TR                   -                1     102  76856312  76856215  76856312  76856195 102389747    -        0.63   18.3   2.8  -
SUPER_11             -          TR                   -              159     191  95055792  95055826  95055790  95055843  97540974    +        0.79   17.9   2.1  -
SUPER_5              -          TR                   -                1      84 105558294 105558416 105558294 105558436 111420786    +         1.2   17.4   1.4  -
SUPER_6              -          TR                   -                1     101  72862021  72862151  72862021  72862162 102418112    +         1.3   17.2   1.2  -
SUPER_2              -          TR                   -                1      61  29868449  29868507  29868449  29868575 115029227    +         1.6   16.9   0.6  -
SUPER_15             -          TR                   -               68     141  61044986  61045087  61044946  61045107  89571570    +         1.7   16.8   4.1  -
SUPER_4              -          TR                   -                1      84  21551429  21551551  21551429  21551570 113644616    +         1.8   16.7   1.9  -
SUPER_4              -          TR                   -                1      93  44144749  44144876  44144749  44144892 113644616    +         1.9   16.7   1.4  -
SUPER_1              -          TR                   -               17     102  16727807  16727728  16727816  16727656 114089103    -         2.1   16.5   1.5  -
SUPER_10             -          TR                   -                1      67  23699352  23699416  23699352  23699481  99245286    +         2.4   16.3   0.6  -
SUPER_5              -          TR                   -                1      92  14159314  14159440  14159314  14159457 111420786    +         2.6   16.3   1.4  -
SUPER_2              -          TR                   -                1      68  88466396  88466503  88466396  88466534 115029227    +         2.6   16.3   2.2  -
HAP2_SCAFFOLD_201    -          TR                   -                1      84     40442     40563     40442     40583     43246    +         2.7   16.2   2.3  -
SUPER_4              -          TR                   -                1      84  65829757  65829636  65829757  65829616 113644616    -         2.7   16.2   2.3  -
SUPER_2              -          TR                   -                1      98  40471979  40471846  40471979  40471829 115029227    -         2.7   16.2   2.7  -
SUPER_1              -          TR                   -                1      67 106138910 106138974 106138910 106139036 114089103    +         2.7   16.2   0.9  -
SUPER_15             -          TR                   -                1      84  51188603  51188720  51188603  51188735  89571570    +         2.9   16.1   4.2  -
SUPER_3              -          TR                   -                1      67  56046370  56046306  56046370  56046244 109190368    -         2.9   16.1   0.3  -
SUPER_4              -          TR                   -                1      91  73137464  73137589  73137464  73137607 113644616    +           3   16.0   1.5  -
SUPER_4              -          TR                   -                1      65  19230425  19230363  19230425  19230343 113644616    -         3.1   16.0   2.5  -
SUPER_20             -          TR                   -              159     194  55045513  55045478  55045575  55045470  73737875    -         3.1   16.0   1.8  -
SUPER_5              -          TR                   -                1      68  35423653  35423732  35423653  35423779 111420786    +         3.1   16.0   1.1  -
SUPER_13             -          TR                   -                1      67  86503303  86503367  86503303  86503430  93967945    +         3.2   16.0   1.0  -
SUPER_4              -          TR                   -                1      67  15152216  15152152  15152216  15152127 113644616    -         3.3   15.9   2.4  -
SUPER_8              -          TR                   -                1      67  80274989  80274925  80274989  80274863 102389747    -         3.8   15.7   1.0  -
SUPER_8              -          TR                   -                1      65  15576623  15576561  15576623  15576540 102389747    -         3.9   15.7   1.6  -
SUPER_8              -          TR                   -                1      92  87106146  87106271  87106146  87106287 102389747    +         3.9   15.7   2.9  -
SUPER_20             -          TR                   -                1      77  42576636  42576724  42576636  42576756  73737875    +         3.9   15.7   4.3  -
SUPER_8              -          TR                   -                1      60  76864898  76864841  76864898  76864821 102389747    -         3.9   15.7   4.0  -
SUPER_10             -          TR                   -                1      60  64811491  64811434  64811491  64811412  99245286    -         3.9   15.6   4.2  -
SUPER_10             -          TR                   -                1      84  29668678  29668562  29668678  29668543  99245286    -         3.9   15.6   2.0  -
SUPER_11             -          TR                   -               33     132  26745766  26745674  26745783  26745657  97540974    -           4   15.6   4.6  -
SUPER_2              -          TR                   -                2      82  23145473  23145549  23145472  23145569 115029227    +         4.1   15.6   3.5  -
SUPER_3              -          TR                   -                1      60  13558530  13558587  13558530  13558607 109190368    +         4.3   15.5   3.2  -
SUPER_5              -          TR                   -              102     161   5788020   5787959   5788040   5787956 111420786    -         4.4   15.5   3.0  -
SUPER_16             -          TR                   -               19     131  54994971  54994861  54994982  54994841  90725208    -         4.5   15.4   5.5  -
SUPER_9              -          TR                   -                1      82  56904628  56904705  56904628  56904725 100974091    +         4.5   15.4   3.2  -
SUPER_14             -          TR                   -                1     101  75879845  75879710  75879845  75879689  89565967    -         4.7   15.4   2.8  -
SUPER_3              -          TR                   -                1      62  17029335  17029276  17029335  17029253 109190368    -         4.8   15.4   2.7  -
SUPER_11             -          TR                   -                1      65  19625914  19625976  19625914  19625998  97540974    +         4.9   15.3   3.8  -
SUPER_10             -          TR                   -                1      64  71749475  71749536  71749475  71749555  99245286    +           5   15.3   2.9  -
SUPER_8              -          TR                   -                1      61  67369477  67369419  67369477  67369398 102389747    -         5.2   15.2   3.6  -
SUPER_10             -          TR                   -                1      84  65188228  65188350  65188228  65188370  99245286    +         5.6   15.1   2.3  -
SUPER_10             -          TR                   -                1      81  90550495  90550572  90550495  90550592  99245286    +         5.7   15.1   4.4  -
SUPER_9              -          TR                   -                1      82  33341857  33341934  33341857  33341954 100974091    +           6   15.0   2.4  -
SUPER_8              -          TR                   -                1      53  48234089  48234039  48234089  48234019 102389747    -         6.2   15.0   5.8  -
SUPER_3              -          TR                   -                1      65  54337818  54337880  54337818  54337901 109190368    +         6.3   15.0   3.4  -
SUPER_2              -          TR                   -                1      53   2139671   2139621   2139671   2139599 115029227    -         6.5   14.9   4.5  -
SUPER_5              -          TR                   -                1      62  17981016  17980957  17981016  17980937 111420786    -         6.5   14.9   2.8  -
SUPER_10             -          TR                   -                1      72  64481670  64481738  64481670  64481757  99245286    +         6.6   14.9   2.6  -
SUPER_14             -          TR                   -                1      65  59136119  59136057  59136119  59136002  89565967    -         6.7   14.9   1.6  -
SUPER_6              -          TR                   -                1      91  51999315  51999441  51999315  51999459 102418112    +           7   14.8   2.4  -
SUPER_16             -          TR                   -                1      56  29960499  29960552  29960499  29960578  90725208    +         7.1   14.8   2.9  -
SUPER_6              -          TR                   -               68     192  99132032  99132191  99132012  99132199 102418112    +         7.2   14.8   6.8  -
SUPER_10             -          TR                   -                1      62  29675544  29675485  29675544  29675464  99245286    -         7.2   14.8   4.2  -
SUPER_5              -          TR                   -                1      64  84152061  84152000  84152061  84151971 111420786    -         7.2   14.8   2.7  -
SUPER_12             -          TR                   -               31     117  22413120  22413034  22413140  22413014  93210305    -         7.2   14.8   2.5  -
