# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_7              -          TR                   -               68     220  4983538  4983694  4983504  4983756 25508536    +     3.2e-05   29.9   1.3  -
SUPER_4              -          TR                   -               27     124   349612   349739   349593   349759 32944658    +        0.35   16.7   0.0  -
SUPER_2              -          TR                   -               73     153 27348385 27348304 27348405 27348290 49875468    -         0.8   15.5   6.0  -
SUPER_3              -          TR                   -               62     124 45477669 45477754 45477648 45477776 47571934    +        0.89   15.4   1.5  -
SUPER_1              -          TR                   -               24     148   471643   471518   471658   471508 52332018    -         1.2   14.9   9.4  -
SUPER_3              -          TR                   -               73     141  6279336  6279267  6279356  6279247 47571934    -         1.5   14.6   5.1  -
SUPER_7              -          TR                   -               68     134 25262890 25262957 25262870 25262981 25508536    +         1.8   14.4   4.5  -
SUPER_7              -          TR                   -               73     133 23856273 23856212 23856293 23856187 25508536    -         1.9   14.3   4.2  -
SUPER_10             -          TR                   -               71     130 11859647 11859595 11859665 11859571 23834054    -           2   14.2   5.0  -
SUPER_8              -          TR                   -               68     131 21801272 21801326 21801252 21801346 25177197    +           3   13.6   3.2  -
SUPER_7              -          TR                   -               73     139  1641095  1641028  1641116  1641009 25508536    -         3.2   13.6   3.6  -
SUPER_7              -          TR                   -               75     132 23775573 23775515 23775593 23775490 25508536    -         3.3   13.5   3.2  -
SUPER_5              -          TR                   -              148     181 25301396 25301434 25301376 25301453 32077642    +         3.4   13.5   0.7  -
SCAFFOLD_57          -          TR                   -               99     171    21107    21031    21118    21031    50552    -         3.5   13.4   0.4  -
SUPER_5              -          TR                   -               76     141 21006994 21007064 21006966 21007084 32077642    +         3.7   13.3   0.6  -
SUPER_9              -          TR                   -               76     141 22141211 22141273 22141192 22141293 24644022    +         3.7   13.3   2.9  -
SUPER_5              -          TR                   -               77     141 16119441 16119354 16119475 16119334 32077642    -           4   13.2   1.4  -
SUPER_1              -          TR                   -               27     129 33172127 33172018 33172133 33171998 52332018    -         4.2   13.1   0.1  -
SUPER_5              -          TR                   -               34     134 29042107 29041986 29042128 29041966 32077642    -         4.7   13.0   4.8  -
SUPER_8              -          TR                   -               96     141 18609174 18609128 18609188 18609101 25177197    -         4.9   12.9   0.6  -
SUPER_11             -          TR                   -               80     138  3774243  3774300  3774224  3774322 17869471    +         5.2   12.8   3.8  -
SUPER_8              -          TR                   -               74     154  1529913  1529834  1529933  1529822 25177197    -         5.3   12.8   3.8  -
SUPER_10             -          TR                   -               68     125 19156866 19156812 19156895 19156800 23834054    -         5.3   12.8   1.5  -
SUPER_3              -          TR                   -               28     125 31466299 31466197 31466320 31466177 47571934    -         5.4   12.8   2.2  -
SUPER_9              -          TR                   -               79     177 17953423 17953319 17953454 17953298 24644022    -         5.9   12.7   1.3  -
SUPER_6              -          TR                   -               98     166  3269137  3269067  3269152  3269063 27145914    -           6   12.6   0.0  -
SUPER_3              -          TR                   -               80     141    75173    75116    75197    75093 47571934    -         6.3   12.6   0.1  -
SUPER_2              -          TR                   -               68     129  3026625  3026561  3026649  3026540 49875468    -           7   12.4   0.6  -
SUPER_8              -          TR                   -               68     122  1354576  1354664  1354556  1354688 25177197    +         7.7   12.3   1.2  -
SUPER_4              -          TR                   -               68     125 29045991 29046044 29045968 29046059 32944658    +         7.7   12.3   0.2  -
SUPER_10             -          TR                   -                4      88 11511112 11511226 11511111 11511246 23834054    +         8.4   12.1   0.1  -
SUPER_7              -          TR                   -              101     141  9924603  9924643  9924584  9924664 25508536    +         9.2   12.0   0.2  -
SUPER_7              -          TR                   -              101     141  9924774  9924734  9924793  9924713 25508536    -         9.2   12.0   0.2  -
SUPER_4              -          TR                   -              136     180 27240385 27240428 27240367 27240434 32944658    +         9.9   11.9   1.6  -
SCAFFOLD_48          -          TR                   -              161     220    32805    32749    32825    32729    55992    -          10   11.9   1.0  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/inputs/TR.hmm
# Target file:     /data/tol/data/darwin/non-vascular-plants/Anomodon_viticulosus/assembly/curated/cbAnoViti19.1/cbAnoViti19.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/outputs/tr_tbls/Anomodon_viticulosus.tbl --dna --cpu 20 /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/inputs/TR.hmm /data/tol/data/darwin/non-vascular-plants/Anomodon_viticulosus/assembly/curated/cbAnoViti19.1/cbAnoViti19.1.primary.fa.gz 
# Current dir:     /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/src
# Date:            Sun Nov 23 23:14:03 2025
# [ok]
