# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          all_tr_seqs          -               94     218 21314461 21314346 21314485 21314326 28236006    -     9.2e-05   28.0   1.2  -
SUPER_13             -          all_tr_seqs          -              107     151      169      214       92      218 14976646    +       0.029   19.8   0.0  -
SUPER_7              -          all_tr_seqs          -               84     144   126858   126785   126879   126765 19407268    -       0.082   18.3   0.1  -
SUPER_1              -          all_tr_seqs          -              118     220  5857688  5857787  5857668  5857807 29408272    +        0.11   17.9   0.5  -
SUPER_5              -          all_tr_seqs          -               91     163  8562973  8563036  8562951  8563054 21429538    +        0.39   16.1   0.0  -
SUPER_10             -          all_tr_seqs          -               40     179  8544178  8544325  8544167  8544333 17205212    +        0.97   14.8   2.1  -
SUPER_4              -          all_tr_seqs          -              127     198  2516682  2516751  2516662  2516771 21629728    +         1.5   14.2   1.7  -
SUPER_5              -          all_tr_seqs          -               97     149 14110505 14110559 14110475 14110579 21429538    +         1.7   14.1   0.9  -
SUPER_6              -          all_tr_seqs          -              127     169 15579766 15579722 15579783 15579712 19463886    -         1.7   14.0   2.1  -
SUPER_9              -          all_tr_seqs          -               83     146    79486    79548    79468    79573 18203333    +         1.9   13.8   0.0  -
SUPER_2              -          all_tr_seqs          -               87     144 21039089 21039138 21039069 21039158 28236006    +         2.1   13.7   0.3  -
SUPER_9              -          all_tr_seqs          -               89     143 18166139 18166099 18166160 18166078 18203333    -         2.2   13.7   0.0  -
SUPER_2              -          all_tr_seqs          -               55     143 21333129 21333213 21333109 21333236 28236006    +         2.2   13.6   4.2  -
SUPER_3              -          all_tr_seqs          -               30     268   184205   184437   184204   184457 24316552    +         2.3   13.6   6.1  -
SUPER_5              -          all_tr_seqs          -               92     143 14014162 14014113 14014182 14014093 21429538    -         2.4   13.5   0.0  -
SUPER_10             -          all_tr_seqs          -               86     144 17116086 17116036 17116106 17116016 17205212    -         2.4   13.5   0.1  -
SUPER_9              -          all_tr_seqs          -               41     143 11913374 11913277 11913383 11913256 18203333    -         2.4   13.5   4.2  -
SUPER_8              -          all_tr_seqs          -               87     143 18619420 18619372 18619440 18619352 18630809    -         2.7   13.4   0.2  -
SUPER_1              -          all_tr_seqs          -               87     142    79149    79196    79130    79217 29408272    +         2.8   13.3   0.3  -
SUPER_1              -          all_tr_seqs          -               87     142    94889    94936    94870    94957 29408272    +         2.8   13.3   0.3  -
SUPER_14             -          all_tr_seqs          -               87     142     7214     7261     7195     7282 14106542    +         2.8   13.3   0.3  -
SUPER_3              -          all_tr_seqs          -               87     142 24301162 24301115 24301181 24301094 24316552    -         2.8   13.3   0.3  -
SUPER_7              -          all_tr_seqs          -               87     142   941474   941521   941455   941542 19407268    +         2.8   13.3   0.3  -
