# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_23             -          all_tr_seqs          -               20     335  4423137  4423473  4423120  4423483 42179334    +     4.9e-55  195.5   1.8  -
SUPER_24             -          all_tr_seqs          -               20     335  4266113  4266450  4266096  4266460 39493183    +     9.4e-52  184.7   2.1  -
SUPER_12             -          all_tr_seqs          -               18      76 28458728 28458786 28458708 28458806 46584475    +       0.017   22.7   4.2  -
SUPER_19             -          all_tr_seqs          -                7      79 38475721 38475649 38475728 38475631 42103708    -       0.032   21.8   6.6  -
SUPER_4              -          all_tr_seqs          -               21     133 55222180 55222285 55222161 55222295 56730609    +       0.034   21.7   1.3  -
SUPER_10             -          all_tr_seqs          -               18      75 33939969 33939912 33939988 33939895 47540705    -       0.035   21.6   4.2  -
SUPER_15             -          all_tr_seqs          -               17      76 15084460 15084401 15084478 15084380 46064614    -       0.059   20.9   5.8  -
SUPER_4              -          all_tr_seqs          -               17      76 39059956 39060015 39059939 39060037 56730609    +       0.065   20.8   5.4  -
SUPER_26             -          all_tr_seqs          -               19      76  8291962  8292019  8291945  8292039 35201857    +       0.065   20.8   6.7  -
SUPER_5              -          all_tr_seqs          -                8      69 48339010 48338949 48339019 48338927 52872795    -       0.067   20.7   6.6  -
SUPER_11             -          all_tr_seqs          -               16      78 37318929 37318991 37318910 37319012 47204372    +       0.073   20.6   6.3  -
SUPER_26             -          all_tr_seqs          -               14      72 31317146 31317204 31317131 31317227 35201857    +       0.074   20.6   4.5  -
SUPER_10             -          all_tr_seqs          -               18      75 25066272 25066329 25066256 25066350 47540705    +       0.077   20.5   4.2  -
SUPER_20             -          all_tr_seqs          -               18      76 32566518 32566576 32566498 32566596 36538983    +       0.089   20.3   4.6  -
SUPER_21             -          all_tr_seqs          -               18      75 11231994 11232051 11231974 11232070 43216553    +       0.089   20.3   5.3  -
SUPER_16             -          all_tr_seqs          -               17      76 39272753 39272694 39272772 39272671 45382503    -        0.09   20.3   7.2  -
SUPER_19             -          all_tr_seqs          -               18      76 29619763 29619821 29619743 29619841 42103708    +       0.091   20.3   6.2  -
SUPER_16             -          all_tr_seqs          -               18      76 30907871 30907813 30907890 30907793 45382503    -       0.092   20.3   6.5  -
SUPER_5              -          all_tr_seqs          -               13      76 48338616 48338553 48338629 48338533 52872795    -       0.098   20.2   7.9  -
SUPER_7              -          all_tr_seqs          -               16      76 16080337 16080277 16080353 16080257 49303473    -         0.1   20.1   7.3  -
SUPER_16             -          all_tr_seqs          -               18      76 39273047 39273105 39273028 39273125 45382503    +         0.1   20.1   7.0  -
SUPER_19             -          all_tr_seqs          -               18      76 23556129 23556071 23556148 23556051 42103708    -         0.1   20.1   7.0  -
SUPER_24             -          all_tr_seqs          -               18      77 16012435 16012494 16012415 16012514 39493183    +        0.11   20.1   4.3  -
SUPER_26             -          all_tr_seqs          -               15      79 11121448 11121384 11121463 11121365 35201857    -        0.11   20.0   5.6  -
SUPER_13             -          all_tr_seqs          -               18      72 24392337 24392283 24392357 24392262 46483541    -        0.12   19.9   4.3  -
SUPER_6              -          all_tr_seqs          -               17      74 37156539 37156482 37156558 37156462 49843225    -        0.12   19.9   7.0  -
