# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_17             -          all_tr_seqs          -               14     343  7147473  7147789  7147459  7147793 21380167    +     3.5e-39  142.5   1.8  -
SUPER_6              -          all_tr_seqs          -              136     214 30690556 30690646 30690536 30690654 33343926    +     0.00035   27.4   0.0  -
HAP2_SCAFFOLD_487    -          all_tr_seqs          -               23     113    86614    86703    86594    86712    91906    +       0.015   22.0   3.2  -
SUPER_10             -          all_tr_seqs          -               18     126  7842757  7842869  7842737  7842882 28229720    +       0.028   21.1   2.5  -
SUPER_4              -          all_tr_seqs          -               16     105 18093819 18093728 18093837 18093705 32493457    -       0.061   20.0   6.9  -
SUPER_20             -          all_tr_seqs          -               22      91  7733227  7733158  7733247  7733149 10581979    -        0.33   17.6   3.4  -
SUPER_5              -          all_tr_seqs          -               17     120  8375261  8375154  8375280  8375137 27826350    -        0.73   16.4   4.7  -
SUPER_3              -          all_tr_seqs          -               22      72 38166403 38166353 38166423 38166331 40017182    -        0.81   16.3   7.3  -
SUPER_3              -          all_tr_seqs          -               22      98 38258753 38258676 38258774 38258675 40017182    -         0.9   16.2   4.3  -
SUPER_13             -          all_tr_seqs          -               29     143 11423373 11423486 11423367 11423506 23054637    +         1.1   15.9   3.9  -
SUPER_10             -          all_tr_seqs          -               23      91 24460746 24460678 24460767 24460669 28229720    -         1.1   15.8   6.1  -
SUPER_7              -          all_tr_seqs          -               20      68  8372710  8372758  8372688  8372778 32532614    +         1.4   15.5   6.8  -
SUPER_21             -          all_tr_seqs          -               17      79  5850110  5850043  5850127  5850022 10315139    -         1.4   15.5   2.7  -
SUPER_13             -          all_tr_seqs          -               18     123 10669197 10669304 10669177 10669316 23054637    +         1.5   15.4   5.2  -
SUPER_3              -          all_tr_seqs          -               21      98 39033881 39033803 39033901 39033802 40017182    -         1.5   15.4   5.9  -
SUPER_6              -          all_tr_seqs          -               18     104  1794496  1794584  1794476  1794605 33343926    +         1.5   15.4   9.3  -
SUPER_16             -          all_tr_seqs          -              153     224 11342806 11342737 11342826 11342717 22191708    -         1.8   15.2   5.9  -
SUPER_5              -          all_tr_seqs          -               19     123 12998079 12998200 12998060 12998220 27826350    +         1.8   15.2   5.3  -
SUPER_8              -          all_tr_seqs          -               15      66 26521451 26521400 26521468 26521380 29346165    -         1.8   15.1   2.6  -
SUPER_18             -          all_tr_seqs          -               23     110     1582     1507     1602     1473 20618066    -         2.1   15.0   6.2  -
SUPER_21             -          all_tr_seqs          -               18      98  2671997  2671916  2672015  2671915 10315139    -           3   14.4   4.2  -
SUPER_2              -          all_tr_seqs          -               96     143 36960932 36960986 36960904 36961006 38919273    +           3   14.4   1.1  -
SUPER_21             -          all_tr_seqs          -               25      91  6863617  6863548  6863637  6863463 10315139    -         3.2   14.3   1.5  -
SUPER_4              -          all_tr_seqs          -               23     100 32490524 32490601 32490504 32490620 32493457    +         3.4   14.3   5.4  -
SUPER_17             -          all_tr_seqs          -               20      82  2759827  2759766  2759847  2759746 21380167    -         3.5   14.2   4.7  -
