# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
HAP2_SCAFFOLD_1      -          TR                   -                2     315 40397660 40397346 40397661 40397341 56501521    -     1.9e-39  142.8   3.3  -
HAP2_SCAFFOLD_3      -          TR                   -               24     161 35755475 35755296 35755486 35755290 40740565    -        0.11   18.8   0.3  -
HAP2_SCAFFOLD_7      -          TR                   -               67     132 12754794 12754679 12754857 12754653 32724680    -        0.12   18.7   6.0  -
HAP2_SCAFFOLD_6      -          TR                   -               23     166 20532665 20532477 20532684 20532476 33776922    -        0.13   18.6   2.8  -
HAP2_SCAFFOLD_8      -          TR                   -               77     141  9089226  9089167  9089246  9089147 32488906    -        0.23   17.8   0.0  -
HAP2_SCAFFOLD_10     -          TR                   -               24     125 25892721 25892822 25892702 25892839 31248326    +        0.33   17.3   1.4  -
HAP2_SCAFFOLD_10     -          TR                   -               24     131 25477895 25478002 25477881 25478022 31248326    +        0.33   17.3   6.9  -
HAP2_SCAFFOLD_4      -          TR                   -               50     132 12582814 12582904 12582798 12582928 40508503    +        0.41   17.0   1.7  -
SUPER_1              -          TR                   -               29     162 32796346 32796185 32796365 32796180 42501814    -        0.61   16.4   0.0  -
SUPER_1              -          TR                   -                2      80 21356391 21356476 21356390 21356496 42501814    +        0.62   16.4   4.1  -
SUPER_3              -          TR                   -               19     167 15220206 15220369 15220197 15220395 24170261    +        0.85   15.9   8.1  -
HAP2_SCAFFOLD_3      -          TR                   -               19     166 32993912 32994095 32993891 32994097 40740565    +        0.98   15.7   1.3  -
SUPER_1              -          TR                   -               41     131 22844991 22844862 22845009 22844842 42501814    -         1.1   15.6   0.0  -
HAP2_SCAFFOLD_1      -          TR                   -               14     162 53442580 53442763 53442576 53442768 56501521    +         1.3   15.3   1.6  -
HAP2_SCAFFOLD_6      -          TR                   -                1      92 16675531 16675629 16675531 16675651 33776922    +         1.4   15.2   5.4  -
HAP2_SCAFFOLD_3      -          TR                   -                1      76 25886680 25886598 25886680 25886570 40740565    -         1.4   15.2   4.6  -
HAP2_SCAFFOLD_13     -          TR                   -                1      79 19819945 19819861 19819945 19819839 28569335    -         1.4   15.2   1.3  -
HAP2_SCAFFOLD_9      -          TR                   -              183     316  1405634  1405739  1405613  1405741 31358376    +         1.5   15.2   0.1  -
HAP2_SCAFFOLD_4      -          TR                   -              106     201  1730476  1730584  1730456  1730591 40508503    +         1.5   15.1   8.1  -
HAP2_SCAFFOLD_12     -          TR                   -                1      89 13172462 13172557 13172462 13172575 29792576    +         1.6   15.0   4.2  -
HAP2_SCAFFOLD_11     -          TR                   -               25     165 18629523 18629312 18629536 18629310 31099853    -         1.7   15.0   1.1  -
HAP2_SCAFFOLD_3      -          TR                   -               56     141 11286392 11286499 11286377 11286519 40740565    +         1.7   14.9   1.1  -
HAP2_SCAFFOLD_1      -          TR                   -                1      79 51707607 51707692 51707607 51707712 56501521    +         1.9   14.8   5.0  -
HAP2_SCAFFOLD_3      -          TR                   -                1      92 36097950 36097854 36097950 36097834 40740565    -         1.9   14.7   5.4  -
HAP2_SCAFFOLD_11     -          TR                   -                1      84 24095355 24095444 24095355 24095464 31099853    +         2.1   14.7   2.1  -
SUPER_2              -          TR                   -               18     130  7161187  7161284  7161181  7161306 34428923    +         2.1   14.7   0.0  -
HAP2_SCAFFOLD_11     -          TR                   -                1      84 24017569 24017658 24017569 24017678 31099853    +         2.1   14.6   1.5  -
SUPER_1              -          TR                   -               68     161 30857388 30857498 30857362 30857504 42501814    +         2.2   14.6   3.6  -
HAP2_SCAFFOLD_8      -          TR                   -               60     130 25313112 25313050 25313143 25313030 32488906    -         2.2   14.6   3.1  -
SUPER_1              -          TR                   -                1      84  5204070  5204160  5204070  5204180 42501814    +         2.5   14.4   3.4  -
HAP2_SCAFFOLD_8      -          TR                   -               24     195  5475786  5475563  5475797  5475559 32488906    -         2.6   14.4   3.7  -
HAP2_SCAFFOLD_8      -          TR                   -                1      79 18513641 18513725 18513641 18513745 32488906    +         2.6   14.3   5.2  -
HAP2_SCAFFOLD_13     -          TR                   -               48     164  9998466  9998317  9998485  9998314 28569335    -         2.8   14.2   2.2  -
HAP2_SCAFFOLD_9      -          TR                   -               40     166 12376852 12377084 12376834 12377104 31358376    +         2.9   14.2   0.9  -
HAP2_SCAFFOLD_11     -          TR                   -                1      80 29191974 29191887 29191974 29191867 31099853    -         3.2   14.0   4.4  -
HAP2_SCAFFOLD_8      -          TR                   -                1      68 19102939 19102866 19102939 19102835 32488906    -         3.3   14.0   3.2  -
HAP2_SCAFFOLD_4      -          TR                   -                1     162 24000954 24000694 24000954 24000692 40508503    -         3.5   13.9   4.3  -
HAP2_SCAFFOLD_3      -          TR                   -              181     261 23338700 23338623 23338706 23338602 40740565    -         3.6   13.9   1.1  -
HAP2_SCAFFOLD_3      -          TR                   -              183     254 29684808 29684741 29684812 29684721 40740565    -         3.7   13.8   5.4  -
SUPER_1              -          TR                   -               48     158 37747971 37748127 37747958 37748137 42501814    +         3.9   13.8   0.3  -
HAP2_SCAFFOLD_13     -          TR                   -               74     129 19613901 19613956 19613880 19613976 28569335    +           4   13.7   2.5  -
HAP2_SCAFFOLD_13     -          TR                   -                1      75 17817892 17817812 17817892 17817792 28569335    -         4.3   13.6   2.9  -
HAP2_SCAFFOLD_9      -          TR                   -               67     163  3079788  3079644  3079806  3079640 31358376    -         4.4   13.6   3.1  -
HAP2_SCAFFOLD_11     -          TR                   -                1      79 23880922 23881006 23880922 23881032 31099853    +         4.4   13.6   1.3  -
HAP2_SCAFFOLD_3      -          TR                   -                1      80 19670418 19670332 19670418 19670310 40740565    -         4.6   13.5   2.9  -
HAP2_SCAFFOLD_13     -          TR                   -                1      65 10179883 10179819 10179883 10179790 28569335    -         4.6   13.5   4.2  -
HAP2_SCAFFOLD_3      -          TR                   -                4     156 28109154 28109329 28109152 28109334 40740565    +         4.8   13.4   0.8  -
HAP2_SCAFFOLD_1      -          TR                   -                2      84 18077548 18077458 18077549 18077438 56501521    -         4.8   13.4   3.5  -
HAP2_SCAFFOLD_4      -          TR                   -                1      80 35649673 35649759 35649673 35649779 40508503    +           5   13.4   3.1  -
HAP2_SCAFFOLD_4      -          TR                   -               27     122 19871758 19871654 19871778 19871629 40508503    -           5   13.4   3.4  -
HAP2_SCAFFOLD_7      -          TR                   -                1      79 29477924 29478008 29477924 29478028 32724680    +           5   13.4   4.0  -
HAP2_SCAFFOLD_6      -          TR                   -               52     161  8174730  8174893  8174713  8174899 33776922    +           5   13.4   1.3  -
HAP2_SCAFFOLD_10     -          TR                   -                1      89 28614138 28614042 28614138 28614024 31248326    -         5.2   13.3   2.3  -
SUPER_3              -          TR                   -               31      97  2131324  2131388  2131307  2131409 24170261    +         5.4   13.3   0.3  -
HAP2_SCAFFOLD_3      -          TR                   -                1      79 15483484 15483567 15483484 15483589 40740565    +         5.4   13.3   3.6  -
SUPER_2              -          TR                   -                4     101 17469684 17469778 17469681 17469793 34428923    +         5.5   13.3   7.9  -
HAP2_SCAFFOLD_1      -          TR                   -              101     157 23128538 23128596 23128495 23128624 56501521    +         5.5   13.2   3.9  -
SUPER_2              -          TR                   -               67     161 20351649 20351815 20351616 20351836 34428923    +         5.6   13.2   1.0  -
HAP2_SCAFFOLD_1      -          TR                   -               81     157 23159440 23159513 23159412 23159541 56501521    +         5.6   13.2   4.7  -
HAP2_SCAFFOLD_4      -          TR                   -               74     166 38891801 38891667 38891825 38891666 40508503    -         5.7   13.2   1.0  -
HAP2_SCAFFOLD_1      -          TR                   -               50     162 12058187 12058020 12058201 12058015 56501521    -         5.8   13.2   0.0  -
HAP2_SCAFFOLD_8      -          TR                   -               48     163 25151061 25151210 25151040 25151214 32488906    +         6.1   13.1   0.5  -
