# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          all_tr_seqs          -               98     219 39665456 39665569 39665435 39665589 43115385    +      0.0023   23.3   1.0  -
SUPER_10             -          all_tr_seqs          -               89     219  9451521  9451405  9451542  9451385 16256291    -       0.058   18.7   0.8  -
SUPER_10             -          all_tr_seqs          -               84     143 16131410 16131334 16131430 16131313 16256291    -       0.097   17.9   0.0  -
SUPER_6              -          all_tr_seqs          -               83     144 19916126 19916048 19916145 19916028 19978144    -         0.1   17.9   0.0  -
SUPER_7              -          all_tr_seqs          -               85     157  3452835  3452909  3452814  3452927 19344382    +        0.12   17.7   4.0  -
SUPER_10             -          all_tr_seqs          -               83     144 15967819 15967741 15967839 15967720 16256291    -        0.13   17.5   0.0  -
SUPER_10             -          all_tr_seqs          -               83     144 15896826 15896748 15896845 15896727 16256291    -        0.13   17.5   0.0  -
SUPER_11             -          all_tr_seqs          -               83     144    91836    91914    91817    91935 15834079    +        0.13   17.5   0.0  -
SUPER_4              -          all_tr_seqs          -               83     144 22846908 22846830 22846927 22846809 22955005    -        0.13   17.5   0.0  -
SUPER_5              -          all_tr_seqs          -               83     144    69467    69545    69448    69566 20983801    +        0.13   17.5   0.0  -
SUPER_6              -          all_tr_seqs          -               83     144    69666    69744    69647    69765 19978144    +        0.13   17.5   0.0  -
SUPER_8              -          all_tr_seqs          -               83     144 18121496 18121418 18121515 18121397 18190634    -        0.13   17.5   0.0  -
SUPER_11             -          all_tr_seqs          -               83     144 15753669 15753591 15753688 15753571 15834079    -        0.14   17.4   0.0  -
SUPER_10             -          all_tr_seqs          -               84     144    63894    63971    63874    63991 16256291    +        0.15   17.3   0.0  -
SUPER_10             -          all_tr_seqs          -               84     144 15863186 15863109 15863206 15863089 16256291    -        0.15   17.3   0.0  -
SUPER_11             -          all_tr_seqs          -               84     144 15650279 15650202 15650299 15650182 15834079    -        0.15   17.3   0.0  -
SUPER_2              -          all_tr_seqs          -               84     144    74199    74276    74179    74296 29175340    +        0.15   17.3   0.0  -
SUPER_3              -          all_tr_seqs          -               84     144 26439245 26439168 26439265 26439148 26607393    -        0.15   17.3   0.0  -
SUPER_4              -          all_tr_seqs          -               84     144   170202   170279   170182   170299 22955005    +        0.15   17.3   0.0  -
SUPER_8              -          all_tr_seqs          -               84     144 18046361 18046284 18046381 18046264 18190634    -        0.15   17.3   0.0  -
SUPER_9              -          all_tr_seqs          -               84     144    21358    21435    21338    21455 17013313    +        0.15   17.3   0.0  -
SUPER_1              -          all_tr_seqs          -               40     146  8434308  8434188  8434316  8434167 43115385    -        0.43   15.8   0.6  -
SUPER_9              -          all_tr_seqs          -               84     144 16982400 16982323 16982420 16982303 17013313    -         0.5   15.6   0.0  -
SUPER_10             -          all_tr_seqs          -               86     149 10379981 10379923 10380004 10379909 16256291    -        0.64   15.2   0.4  -
