# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          all_tr_seqs          -               24     333 67073521 67073878 67073503 67073887 72478092    +     4.5e-23   90.2   0.5  -
SUPER_4              -          all_tr_seqs          -              107     332 61284559 61284293 61284570 61284291 65788526    -     5.6e-12   53.7   1.5  -
SUPER_16             -          all_tr_seqs          -               17     104 49210925 49211016 49210909 49211036 54081873    +        0.11   19.9   0.3  -
SUPER_9              -          all_tr_seqs          -               14      82 56278229 56278161 56278244 56278110 62979943    -        0.11   19.9   4.1  -
SUPER_14             -          all_tr_seqs          -               20     121 48627508 48627610 48627488 48627618 55598651    +        0.11   19.8   0.4  -
SUPER_4              -          all_tr_seqs          -               23     124 61285783 61285680 61285803 61285674 65788526    -        0.12   19.7   2.3  -
SUPER_10             -          all_tr_seqs          -               15      80 15137525 15137590 15137511 15137647 61274525    +        0.24   18.7   4.5  -
SUPER_13             -          all_tr_seqs          -               24     135 57126529 57126414 57126549 57126403 57165722    -         0.3   18.4   3.7  -
SUPER_1              -          all_tr_seqs          -               17     123 72410945 72410826 72410961 72410820 73715386    -        0.35   18.2   3.6  -
SUPER_3              -          all_tr_seqs          -               15      69 60769654 60769708 60769638 60769729 69516159    +        0.45   17.9   2.9  -
SUPER_13             -          all_tr_seqs          -               18     123 55836219 55836108 55836237 55836101 57165722    -        0.45   17.8   4.5  -
SUPER_2              -          all_tr_seqs          -               24     141 66903852 66903725 66903872 66903705 72478092    -        0.49   17.7   5.7  -
SUPER_1              -          all_tr_seqs          -               15     123 38685059 38685181 38685045 38685188 73715386    +         0.6   17.4   5.0  -
SUPER_16             -          all_tr_seqs          -               18      72 52835591 52835537 52835607 52835523 54081873    -         0.6   17.4   3.9  -
SUPER_12             -          all_tr_seqs          -               17      71 16645497 16645551 16645481 16645571 57425473    +        0.66   17.3   2.4  -
SUPER_1              -          all_tr_seqs          -               16      69  4794532  4794585  4794512  4794608 73715386    +        0.67   17.3   5.5  -
SUPER_12             -          all_tr_seqs          -               16     109 41187442 41187543 41187426 41187566 57425473    +         0.7   17.2   4.0  -
SUPER_1              -          all_tr_seqs          -              164     209 19832107 19832056 19832127 19832036 73715386    -        0.71   17.2   2.1  -
SUPER_2              -          all_tr_seqs          -               20      72 64569401 64569453 64569381 64569474 72478092    +        0.72   17.2   6.9  -
SUPER_7              -          all_tr_seqs          -               19     124 21169170 21169058 21169189 21169050 63205660    -        0.76   17.1   2.1  -
SUPER_15             -          all_tr_seqs          -               17     123  2211728  2211608  2211745  2211588 55046141    -        0.82   17.0   4.4  -
SUPER_3              -          all_tr_seqs          -               15      76 50240501 50240562 50240482 50240585 69516159    +        0.84   17.0   4.6  -
SUPER_8              -          all_tr_seqs          -               18     117 45116650 45116547 45116668 45116533 63069764    -         0.9   16.9   5.7  -
SUPER_14             -          all_tr_seqs          -               16      71 42928234 42928289 42928219 42928309 55598651    +         0.9   16.9   2.1  -
SUPER_15             -          all_tr_seqs          -               18      72 43476694 43476640 43476710 43476620 55046141    -        0.96   16.8   5.1  -
SUPER_1              -          all_tr_seqs          -               16      68 71802857 71802805 71802874 71802787 73715386    -        0.96   16.8   3.2  -
SUPER_3              -          all_tr_seqs          -              164     207 17184147 17184105 17184167 17184086 69516159    -        0.98   16.7   0.0  -
SUPER_10             -          all_tr_seqs          -                9      68 55253772 55253714 55253781 55253701 61274525    -         1.1   16.5   1.4  -
SUPER_15             -          all_tr_seqs          -               18      73 37148784 37148839 37148769 37148847 55046141    +         1.2   16.4   2.0  -
SUPER_8              -          all_tr_seqs          -               18      72 10052375 10052321 10052392 10052301 63069764    -         1.2   16.4   3.0  -
SUPER_13             -          all_tr_seqs          -               19      71 39252929 39252877 39252945 39252864 57165722    -         1.2   16.4   2.7  -
SUPER_2              -          all_tr_seqs          -               18     105 19310007 19309914 19310026 19309894 72478092    -         1.2   16.4   4.7  -
SUPER_15             -          all_tr_seqs          -               15      68 43389787 43389840 43389770 43389860 55046141    +         1.3   16.3   3.4  -
SUPER_3              -          all_tr_seqs          -               18      73  1458537  1458592  1458516  1458612 69516159    +         1.3   16.3   4.9  -
SUPER_2              -          all_tr_seqs          -               17     106 20953234 20953137 20953252 20953114 72478092    -         1.4   16.3   5.4  -
SUPER_12             -          all_tr_seqs          -               16      72  4731869  4731813  4731886  4731794 57425473    -         1.4   16.2   6.8  -
SUPER_9              -          all_tr_seqs          -               18      70 10521588 10521640 10521572 10521650 62979943    +         1.4   16.2   2.4  -
SUPER_6              -          all_tr_seqs          -               21     123 50241766 50241657 50241786 50241648 63288970    -         1.4   16.2   4.0  -
SUPER_10             -          all_tr_seqs          -               15      72 12004368 12004425 12004348 12004445 61274525    +         1.6   16.1   5.3  -
SUPER_15             -          all_tr_seqs          -               20      73  7644887  7644940  7644868  7644958 55046141    +         1.6   16.1   5.0  -
SUPER_7              -          all_tr_seqs          -               15      72 48336481 48336538 48336465 48336560 63205660    +         1.6   16.0   6.3  -
SUPER_14             -          all_tr_seqs          -               21      72 36052837 36052888 36052816 36052916 55598651    +         1.6   16.0   5.6  -
SUPER_5              -          all_tr_seqs          -               16     105 27444279 27444182 27444295 27444158 65157163    -         1.6   16.0   5.2  -
SUPER_9              -          all_tr_seqs          -              164     208 37534075 37534126 37534055 37534135 62979943    +         1.7   15.9   0.3  -
SUPER_17             -          all_tr_seqs          -               18      73 23139428 23139483 23139409 23139503 54012110    +         1.7   15.9   5.7  -
SUPER_18             -          all_tr_seqs          -               19      76 50993517 50993574 50993498 50993595 51313026    +         1.8   15.9   4.1  -
SUPER_13             -          all_tr_seqs          -               17      74 20770148 20770091 20770166 20770070 57165722    -         1.8   15.9   6.2  -
SUPER_12             -          all_tr_seqs          -               19      70 49472179 49472128 49472196 49472110 57425473    -         1.9   15.8   2.9  -
SUPER_3              -          all_tr_seqs          -               16     109 47216340 47216441 47216323 47216461 69516159    +         1.9   15.8   4.3  -
SUPER_14             -          all_tr_seqs          -               15      73  4749788  4749730  4749803  4749709 55598651    -         1.9   15.8   6.3  -
SUPER_18             -          all_tr_seqs          -               18      73 44176486 44176541 44176468 44176562 51313026    +         1.9   15.8   5.4  -
SUPER_7              -          all_tr_seqs          -              164     209 57279236 57279285 57279216 57279288 63205660    +           2   15.7   1.4  -
SUPER_17             -          all_tr_seqs          -               18      73 39242127 39242182 39242108 39242201 54012110    +           2   15.7   5.3  -
SUPER_2              -          all_tr_seqs          -               18      71  5739002  5738949  5739018  5738929 72478092    -         2.1   15.7   2.6  -
SUPER_4              -          all_tr_seqs          -               18      73 27406444 27406499 27406425 27406521 65788526    +         2.2   15.6   5.5  -
SUPER_11             -          all_tr_seqs          -               21      76 50610721 50610776 50610702 50610795 57674505    +         2.2   15.6   3.6  -
SUPER_4              -          all_tr_seqs          -               14      70  6964745  6964801  6964731  6964823 65788526    +         2.2   15.6   5.7  -
SUPER_4              -          all_tr_seqs          -               18      71 40480985 40481037 40480970 40481052 65788526    +         2.3   15.5   2.4  -
SUPER_10             -          all_tr_seqs          -               17      68  6533551  6533602  6533533  6533623 61274525    +         2.3   15.5   1.9  -
SUPER_1              -          all_tr_seqs          -               18      72 59426925 59426871 59426945 59426854 73715386    -         2.3   15.5   3.8  -
SUPER_7              -          all_tr_seqs          -              130     219 58054235 58054160 58054256 58054144 63205660    -         2.3   15.5   3.1  -
SUPER_5              -          all_tr_seqs          -               20     120   514815   514902   514795   514920 65157163    +         2.4   15.4   3.6  -
SUPER_8              -          all_tr_seqs          -               15      72 51378709 51378652 51378726 51378591 63069764    -         2.4   15.4   6.6  -
SUPER_4              -          all_tr_seqs          -               18      74 40804476 40804420 40804494 40804399 65788526    -         2.4   15.4   6.0  -
SUPER_8              -          all_tr_seqs          -               19      72 27068865 27068918 27068847 27068931 63069764    +         2.5   15.4   4.4  -
SUPER_6              -          all_tr_seqs          -               17      71 59480350 59480404 59480336 59480422 63288970    +         2.5   15.4   3.3  -
SUPER_12             -          all_tr_seqs          -               19      73 49472537 49472483 49472553 49472463 57425473    -         2.6   15.3   3.3  -
SUPER_6              -          all_tr_seqs          -               18      71 59480160 59480213 59480144 59480229 63288970    +         2.7   15.3   2.7  -
SUPER_4              -          all_tr_seqs          -               16      69 59114653 59114599 59114668 59114578 65788526    -         2.7   15.3   1.3  -
SUPER_6              -          all_tr_seqs          -               18      71 59557929 59557876 59557946 59557865 63288970    -         2.7   15.3   3.7  -
HAP1_SCAFFOLD_1281   -          all_tr_seqs          -               18      71    20353    20300    20369    20280    35360    -         2.8   15.2   1.9  -
SUPER_2              -          all_tr_seqs          -               18      71 64030989 64031042 64030973 64031062 72478092    +         2.8   15.2   1.9  -
SUPER_8              -          all_tr_seqs          -               20      73 62837629 62837576 62837649 62837527 63069764    -         2.9   15.2   9.8  -
SUPER_1              -          all_tr_seqs          -               18      70 64119487 64119539 64119471 64119554 73715386    +         2.9   15.2   3.3  -
SUPER_1              -          all_tr_seqs          -              163     206 41391269 41391230 41391291 41391213 73715386    -         2.9   15.2   0.8  -
SUPER_12             -          all_tr_seqs          -               18      72 50924687 50924633 50924703 50924617 57425473    -           3   15.2   3.4  -
SUPER_6              -          all_tr_seqs          -               18      68 58756257 58756207 58756274 58756195 63288970    -           3   15.2   4.3  -
SUPER_14             -          all_tr_seqs          -               18      82 22562869 22562805 22562889 22562750 55598651    -           3   15.1   4.4  -
SUPER_11             -          all_tr_seqs          -               15      70  6142680  6142735  6142663  6142757 57674505    +           3   15.1   4.6  -
SUPER_14             -          all_tr_seqs          -               12      73 41765574 41765513 41765593 41765476 55598651    -           3   15.1   4.1  -
SUPER_10             -          all_tr_seqs          -               14      73 15149575 15149634 15149561 15149660 61274525    +         3.1   15.1   4.9  -
SUPER_1              -          all_tr_seqs          -               18      68 49020415 49020365 49020432 49020345 73715386    -         3.1   15.1   2.7  -
SUPER_9              -          all_tr_seqs          -               17      72 16592394 16592449 16592378 16592469 62979943    +         3.1   15.1   3.8  -
SUPER_10             -          all_tr_seqs          -               16      70 18377421 18377475 18377406 18377496 61274525    +         3.1   15.1   0.7  -
SUPER_15             -          all_tr_seqs          -               18      72 31664395 31664449 31664380 31664467 55046141    +         3.3   15.0   3.2  -
SUPER_14             -          all_tr_seqs          -               13      76  4835888  4835951  4835875  4835973 55598651    +         3.3   15.0   4.1  -
SUPER_2              -          all_tr_seqs          -               18      72  4167191  4167245  4167172  4167265 72478092    +         3.3   15.0   5.2  -
SUPER_5              -          all_tr_seqs          -               18      72  4807429  4807483  4807411  4807503 65157163    +         3.4   15.0   6.5  -
SUPER_8              -          all_tr_seqs          -               18      72 18708024 18707970 18708040 18707950 63069764    -         3.5   14.9   3.0  -
SUPER_13             -          all_tr_seqs          -               15     107  9702149  9702049  9702165  9702028 57165722    -         3.5   14.9   5.9  -
SUPER_1              -          all_tr_seqs          -               18      73 17665022 17664967 17665039 17664949 73715386    -         3.5   14.9   2.0  -
SUPER_4              -          all_tr_seqs          -               17      72 15035336 15035281 15035353 15035257 65788526    -         3.5   14.9   6.0  -
SUPER_10             -          all_tr_seqs          -               18      76  4231909  4231851  4231926  4231836 61274525    -         3.5   14.9   2.9  -
SUPER_17             -          all_tr_seqs          -               21     109  5933123  5933215  5933103  5933235 54012110    +         3.6   14.9   5.0  -
SUPER_5              -          all_tr_seqs          -               18      72   656517   656463   656533   656443 65157163    -         3.7   14.8   2.8  -
SUPER_10             -          all_tr_seqs          -               21     125  8973174  8973056  8973194  8973050 61274525    -         3.8   14.8   6.6  -
SUPER_3              -          all_tr_seqs          -               20      73 50235170 50235223 50235150 50235243 69516159    +         3.9   14.7   7.3  -
SUPER_6              -          all_tr_seqs          -               15      74 41638383 41638442 41638369 41638463 63288970    +           4   14.7   3.5  -
SUPER_4              -          all_tr_seqs          -                8      68  1358154  1358214  1358146  1358236 65788526    +           4   14.7   1.0  -
SUPER_17             -          all_tr_seqs          -               19      73 22880520 22880574 22880500 22880596 54012110    +           4   14.7   5.1  -
SUPER_8              -          all_tr_seqs          -               21      75 45111480 45111426 45111500 45111406 63069764    -           4   14.7   6.7  -
SUPER_9              -          all_tr_seqs          -               18      72 52207838 52207784 52207854 52207769 62979943    -         4.1   14.7   3.0  -
SUPER_10             -          all_tr_seqs          -               18      71  8616881  8616828  8616898  8616813 61274525    -         4.1   14.7   1.9  -
SUPER_18             -          all_tr_seqs          -               18      71 10517523 10517470 10517541 10517456 51313026    -         4.1   14.7   2.3  -
SUPER_8              -          all_tr_seqs          -               16      68 43051561 43051509 43051576 43051489 63069764    -         4.2   14.7   6.0  -
SUPER_1              -          all_tr_seqs          -               18      71 25494826 25494773 25494842 25494756 73715386    -         4.2   14.6   2.6  -
SUPER_10             -          all_tr_seqs          -               17      72 10097467 10097522 10097451 10097541 61274525    +         4.2   14.6   3.5  -
SUPER_16             -          all_tr_seqs          -               21     125 13220959 13221068 13220939 13221076 54081873    +         4.3   14.6   1.5  -
SUPER_16             -          all_tr_seqs          -               20      73 44310648 44310701 44310628 44310733 54081873    +         4.4   14.6   3.5  -
SUPER_12             -          all_tr_seqs          -               15      76 49284667 49284606 49284682 49284583 57425473    -         4.4   14.6   5.7  -
SUPER_16             -          all_tr_seqs          -               19      72 28159782 28159835 28159762 28159855 54081873    +         4.6   14.5   6.4  -
SUPER_12             -          all_tr_seqs          -               14     105 44762617 44762716 44762603 44762738 57425473    +         4.6   14.5   5.4  -
SUPER_15             -          all_tr_seqs          -               19      73 43476334 43476280 43476352 43476258 55046141    -         4.6   14.5   4.4  -
SUPER_2              -          all_tr_seqs          -              164     210 53263328 53263275 53263348 53263255 72478092    -         4.6   14.5   1.3  -
SUPER_13             -          all_tr_seqs          -               19      72  4438915  4438968  4438898  4438988 57165722    +         4.6   14.5   3.2  -
SUPER_5              -          all_tr_seqs          -               14      75  6459102  6459163  6459087  6459184 65157163    +         4.7   14.5   6.0  -
SUPER_15             -          all_tr_seqs          -               20     121 40215183 40215295 40215163 40215308 55046141    +         4.7   14.5   9.7  -
SUPER_4              -          all_tr_seqs          -               25     125 52406814 52406706 52406824 52406700 65788526    -         4.8   14.5   2.0  -
SUPER_2              -          all_tr_seqs          -              165     228 47966642 47966575 47966666 47966562 72478092    -         4.9   14.4   2.1  -
SUPER_2              -          all_tr_seqs          -               17      73 19314504 19314448 19314521 19314428 72478092    -         4.9   14.4   5.5  -
SUPER_7              -          all_tr_seqs          -              130     182 24136437 24136488 24136417 24136495 63205660    +         5.1   14.4   2.8  -
SUPER_7              -          all_tr_seqs          -               17      71 50191934 50191988 50191917 50192012 63205660    +         5.1   14.4   6.6  -
