# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          all_tr_seqs          -               19     340 32915688 32916025 32915668 32916031 47967653    +     2.6e-42  152.4   4.8  -
SUPER_1              -          all_tr_seqs          -               20     339 32927791 32928119 32927773 32928129 47967653    +     4.3e-39  141.8   2.8  -
SUPER_13             -          all_tr_seqs          -               17     123  8595406  8595504  8595390  8595512 30074742    +     0.00012   28.5   1.3  -
SUPER_7              -          all_tr_seqs          -               17     122 30520344 30520447 30520324 30520457 39526038    +      0.0013   25.1   4.2  -
SUPER_8              -          all_tr_seqs          -               16     122 20237012 20237111 20236993 20237122 38778200    +      0.0054   23.1   3.8  -
SUPER_9              -          all_tr_seqs          -               56     144  6936296  6936216  6936314  6936196 38527797    -      0.0061   22.9   2.2  -
SUPER_10             -          all_tr_seqs          -               18     122  9791276  9791369  9791256  9791384 32487561    +      0.0071   22.7   3.2  -
SUPER_7              -          all_tr_seqs          -               16     113  7831814  7831904  7831795  7831921 39526038    +      0.0092   22.3   0.6  -
SUPER_5              -          all_tr_seqs          -               17     123 34521856 34521744 34521873 34521734 42147619    -      0.0099   22.2   2.3  -
SUPER_11             -          all_tr_seqs          -               20     122  5918753  5918649  5918774  5918628 31693531    -       0.011   22.0   0.9  -
SUPER_9              -          all_tr_seqs          -               21     121 22348547 22348457 22348567 22348438 38527797    -       0.015   21.6   1.9  -
SUPER_8              -          all_tr_seqs          -               18     100   614408   614334   614427   614314 38778200    -       0.023   21.0   4.9  -
SUPER_1              -          all_tr_seqs          -               15     100 39230139 39230216 39230124 39230236 47967653    +       0.026   20.8   6.5  -
SUPER_10             -          all_tr_seqs          -               21     102 10018247 10018180 10018266 10018169 32487561    -       0.031   20.6   1.9  -
SUPER_8              -          all_tr_seqs          -               21     122 18736803 18736708 18736823 18736697 38778200    -       0.031   20.5   2.4  -
SUPER_9              -          all_tr_seqs          -               15     103 11176296 11176199 11176312 11176180 38527797    -        0.05   19.9   6.0  -
SUPER_10             -          all_tr_seqs          -               16     173 21690060 21689867 21690075 21689855 32487561    -       0.051   19.8   1.7  -
SUPER_12             -          all_tr_seqs          -               21     121 15189904 15189802 15189924 15189794 30303262    -        0.06   19.6   6.7  -
SUPER_10             -          all_tr_seqs          -               21      78 10025826 10025769 10025845 10025747 32487561    -       0.067   19.4   0.5  -
SUPER_1              -          all_tr_seqs          -               16     122 21514767 21514870 21514750 21514879 47967653    +       0.075   19.3   3.8  -
SUPER_13             -          all_tr_seqs          -               20     121 16673223 16673316 16673203 16673326 30074742    +       0.076   19.3   2.4  -
SUPER_3              -          all_tr_seqs          -               16     123 35764530 35764659 35764515 35764666 43288891    +       0.079   19.2   0.7  -
