# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          all_tr_seqs          -               15     340 14635818 14635499 14635832 14635493 18263713    -     5.1e-26   97.9   0.9  -
SUPER_1              -          all_tr_seqs          -               16     269 14619480 14619222 14619495 14619202 18263713    -     7.7e-20   77.6   0.0  -
SUPER_1              -          all_tr_seqs          -               16     213 14637294 14637086 14637312 14637081 18263713    -     2.5e-16   66.1   0.3  -
SUPER_18             -          all_tr_seqs          -               14      72  2206226  2206284  2206208  2206304 11146063    +         0.2   17.0   4.5  -
SUPER_6              -          all_tr_seqs          -               13      71 13415084 13415142 13415070 13415157 15671004    +        0.32   16.4   3.1  -
SUPER_10             -          all_tr_seqs          -               17     122  3144350  3144249  3144367  3144232 14338277    -        0.63   15.4   0.4  -
SUPER_12             -          all_tr_seqs          -               10      73 11247711 11247648 11247721 11247628 13572848    -           1   14.7   2.6  -
SUPER_17             -          all_tr_seqs          -               16      76  2651736  2651676  2651751  2651656 12537007    -         1.2   14.4   7.4  -
SUPER_1              -          all_tr_seqs          -               16      69 15003226 15003278 15003212 15003299 18263713    +         1.7   13.9   1.6  -
SUPER_7              -          all_tr_seqs          -              127     178 14616498 14616549 14616472 14616556 15633468    +         2.5   13.4   1.6  -
SUPER_17             -          all_tr_seqs          -               20      76  8342119  8342063  8342138  8342046 12537007    -         2.6   13.4   4.0  -
SUPER_7              -          all_tr_seqs          -               96     149 13456474 13456426 13456495 13456406 15633468    -           3   13.2   0.3  -
SUPER_11             -          all_tr_seqs          -              103     161 11005621 11005560 11005642 11005543 14164535    -         3.2   13.1   0.7  -
SUPER_14             -          all_tr_seqs          -               17     106  2920532  2920623  2920516  2920643 13054154    +         3.2   13.0   5.7  -
SUPER_2              -          all_tr_seqs          -               15      72 15112811 15112754 15112825 15112735 18223435    -         3.8   12.8   3.3  -
SUPER_4              -          all_tr_seqs          -               15      72 14315034 14315091 14315018 14315111 17149089    +         4.1   12.7   5.2  -
