# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          TR                   -                1     316  16961609  16961960  16961609  16961961  99419539    +     9.2e-18   72.5   2.6  -
SUPER_3              -          TR                   -                1     317    918071    917720    918071    917720 110046576    -     3.6e-11   50.8   0.2  -
SUPER_9              -          TR                   -               67     141  66735359  66735439  66735335  66735458  80327249    +         3.3   14.8   2.3  -
SUPER_5              -          TR                   -               67     141  45800571  45800649  45800547  45800669  99419539    +         4.2   14.5   2.0  -
SUPER_6              -          TR                   -               19     103  37196497  37196598  37196490  37196643  89146513    +         4.3   14.5   1.3  -
SUPER_6              -          TR                   -               82     196  83083154  83082993  83083174  83082992  89146513    -         4.5   14.4   1.8  -
SUPER_2              -          TR                   -              176     239  52753266  52753354  52753257  52753374 112570964    +           7   13.8   3.7  -
SUPER_6              -          TR                   -              166     208  71363038  71362993  71363038  71362973  89146513    -           7   13.8   1.4  -
SUPER_3              -          TR                   -              109     187  80213553  80213637  80213540  80213649 110046576    +         7.7   13.6   4.0  -
SUPER_6              -          TR                   -               19     103  37183032  37183133  37183025  37183178  89146513    +         7.8   13.6   1.3  -
SUPER_5              -          TR                   -               63     143  14125499  14125408  14125518  14125387  99419539    -           9   13.4   0.0  -
SUPER_1              -          TR                   -               90     159  31389967  31390039  31389947  31390059 118145523    +         9.2   13.4   3.6  -
SUPER_1              -          TR                   -               90     159  31396625  31396697  31396605  31396717 118145523    +         9.2   13.4   3.6  -
SUPER_1              -          TR                   -               90     159  31362388  31362316  31362408  31362304 118145523    -         9.5   13.3   3.6  -
SUPER_9              -          TR                   -               72     129    787150    787101    787174    787082  80327249    -         9.6   13.3   0.9  -
SUPER_3              -          TR                   -               90     159  63948884  63948812  63948904  63948798 110046576    -         9.6   13.3   3.6  -
SUPER_5              -          TR                   -               90     159  51084176  51084104  51084196  51084090  99419539    -         9.6   13.3   3.6  -
SUPER_3              -          TR                   -               90     159 108004894 108004966 108004874 108004982 110046576    +         9.7   13.3   3.7  -
SUPER_1              -          TR                   -               90     159  31351302  31351230  31351322  31351215 118145523    -         9.7   13.3   3.7  -
SUPER_1              -          TR                   -               90     159  31357346  31357274  31357366  31357259 118145523    -         9.7   13.3   3.7  -
SUPER_1              -          TR                   -               90     159  31785927  31785855  31785947  31785840 118145523    -         9.7   13.3   3.7  -
SUPER_3              -          TR                   -               90     159 108010736 108010808 108010716 108010823 110046576    +         9.7   13.3   3.7  -
SUPER_3              -          TR                   -               90     159  56143294  56143222  56143314  56143207 110046576    -         9.7   13.3   3.7  -
SUPER_3              -          TR                   -               90     159  56149136  56149064  56149156  56149049 110046576    -         9.7   13.3   3.7  -
SUPER_3              -          TR                   -               90     159  57180467  57180395  57180487  57180380 110046576    -         9.7   13.3   3.7  -
SUPER_3              -          TR                   -               90     159  57186313  57186241  57186333  57186226 110046576    -         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  45335967  45336039  45335947  45336054  99419539    +         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  50548115  50548187  50548095  50548202  99419539    +         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  51453829  51453901  51453809  51453916  99419539    +         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  51466795  51466867  51466775  51466882  99419539    +         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  45341604  45341532  45341624  45341517  99419539    -         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  51071724  51071652  51071744  51071637  99419539    -         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  51177828  51177756  51177848  51177741  99419539    -         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  51184318  51184246  51184338  51184231  99419539    -         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  51265463  51265391  51265483  51265376  99419539    -         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  51277626  51277554  51277646  51277539  99419539    -         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  51290793  51290721  51290813  51290706  99419539    -         9.7   13.3   3.7  -
SUPER_5              -          TR                   -               90     159  51296634  51296562  51296654  51296547  99419539    -         9.7   13.3   3.7  -
SUPER_7              -          TR                   -               90     159  43900111  43900183  43900091  43900198  86423077    +         9.7   13.3   3.7  -
SUPER_7              -          TR                   -               90     159  43905848  43905920  43905828  43905935  86423077    +         9.7   13.3   3.7  -
SUPER_7              -          TR                   -               90     159  44669443  44669371  44669463  44669356  86423077    -         9.7   13.3   3.7  -
SUPER_9              -          TR                   -               90     159  40026179  40026251  40026159  40026266  80327249    +         9.7   13.3   3.7  -
SUPER_9              -          TR                   -               90     159  40032024  40032096  40032004  40032111  80327249    +         9.7   13.3   3.7  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/inputs/TR.hmm
# Target file:     /data/tol/data/darwin/dicots/Carpobrotus_edulis/assembly/curated/dcCarEdul1.1/dcCarEdul1.hap1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/outputs/tr_tbls/Carpobrotus_edulis.tbl --dna --cpu 20 /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/inputs/TR.hmm /data/tol/data/darwin/dicots/Carpobrotus_edulis/assembly/curated/dcCarEdul1.1/dcCarEdul1.hap1.1.primary.fa.gz 
# Current dir:     /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/src
# Date:            Sun Nov 23 23:14:07 2025
# [ok]
