# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          all_tr_seqs          -               18     339  49862243  49861916  49862260  49861907 337830188    -     5.2e-41  150.6   9.9  -
SUPER_2              -          all_tr_seqs          -               16     146  91168417  91168553  91168402  91168574 337830188    +      0.0043   25.8   1.5  -
SUPER_4              -          all_tr_seqs          -               11      75 164070445 164070509 164070434 164070530 314333428    +       0.018   23.8   1.7  -
SUPER_9              -          all_tr_seqs          -               15      72 166480599 166480656 166480585 166480670 265668510    +       0.041   22.6   1.8  -
SUPER_8              -          all_tr_seqs          -               15     177 241029000 241028822 241029015 241028820 280666602    -       0.048   22.4   1.7  -
SUPER_9              -          all_tr_seqs          -               15     111  18957046  18957140  18957032  18957160 265668510    +       0.049   22.4   3.8  -
SUPER_4              -          all_tr_seqs          -               15      78  36260229  36260166  36260243  36260146 314333428    -       0.061   22.0   6.7  -
SUPER_4              -          all_tr_seqs          -               14      72 164070663 164070721 164070650 164070741 314333428    +       0.074   21.8   1.2  -
SUPER_4              -          all_tr_seqs          -               10      74 182787207 182787271 182787198 182787295 314333428    +       0.078   21.7   2.3  -
SUPER_4              -          all_tr_seqs          -               11      71 222086441 222086501 222086431 222086522 314333428    +       0.081   21.6   1.2  -
SUPER_1              -          all_tr_seqs          -               14      74  28620746  28620806  28620732  28620828 353315761    +       0.083   21.6   0.7  -
SUPER_1              -          all_tr_seqs          -               10      69 227295279 227295220 227295288 227295196 353315761    -       0.089   21.5   1.4  -
SUPER_8              -          all_tr_seqs          -                9      71 171431775 171431713 171431783 171431692 280666602    -        0.09   21.5   2.1  -
SUPER_9              -          all_tr_seqs          -               16      91   8778593   8778667   8778578   8778687 265668510    +       0.093   21.4   0.0  -
SUPER_3              -          all_tr_seqs          -               15      78 186813477 186813414 186813491 186813394 329068210    -       0.098   21.4   5.1  -
SUPER_4              -          all_tr_seqs          -               14      73 222086197 222086256 222086184 222086277 314333428    +        0.12   21.0   1.7  -
SUPER_5              -          all_tr_seqs          -               16     177 109628307 109628130 109628323 109628117 307147849    -        0.13   21.0   0.6  -
SUPER_8              -          all_tr_seqs          -               12      75 139097274 139097337 139097262 139097358 280666602    +        0.13   21.0   0.2  -
SUPER_5              -          all_tr_seqs          -               19     101  31793463  31793377  31793483  31793376 307147849    -        0.13   20.9   2.0  -
SUPER_1              -          all_tr_seqs          -               19     101 274831288 274831374 274831269 274831375 353315761    +        0.14   20.8   2.3  -
SUPER_3              -          all_tr_seqs          -               14     145  43926020  43925884  43926033  43925864 329068210    -        0.15   20.8   3.0  -
SUPER_5              -          all_tr_seqs          -               15      98 241036308 241036382 241036294 241036402 307147849    +        0.16   20.7   4.0  -
SUPER_9              -          all_tr_seqs          -               15     177 162914535 162914713 162914520 162914718 265668510    +        0.18   20.5   1.0  -
SUPER_5              -          all_tr_seqs          -               17      75 185080743 185080801 185080725 185080835 307147849    +        0.19   20.4   0.4  -
SUPER_2              -          all_tr_seqs          -               19     101  11501807  11501894  11501787  11501895 337830188    +        0.19   20.4   2.4  -
SUPER_6              -          all_tr_seqs          -               17     177 197806897 197807074 197806880 197807076 296943337    +         0.2   20.3   1.8  -
SUPER_8              -          all_tr_seqs          -               39     152 252573365 252573487 252573351 252573507 280666602    +        0.21   20.3   5.3  -
SUPER_9              -          all_tr_seqs          -               14      72   8778683   8778741   8778669   8778765 265668510    +        0.23   20.1   0.4  -
SUPER_3              -          all_tr_seqs          -               17     105 167637752 167637838 167637736 167637858 329068210    +        0.23   20.1   4.3  -
