# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_9              -          all_tr_seqs          -               19     336  12812168  12811842  12812187  12811832 115832916    -       2e-37  138.9   4.6  -
SUPER_24             -          all_tr_seqs          -               19     339  13220355  13220026  13220375  13220009 103385325    -     1.6e-33  126.1   6.7  -
SUPER_21             -          all_tr_seqs          -               19     303  12487894  12487603  12487913  12487583 104786869    -     1.2e-29  113.4   4.5  -
SUPER_8              -          all_tr_seqs          -               95     247 120759270 120759081 120759290 120759073 120895728    -       0.057   22.3  11.2  -
SUPER_21             -          all_tr_seqs          -               95     212 100718092 100718241 100718071 100718245 104786869    +       0.061   22.2   7.3  -
SUPER_21             -          all_tr_seqs          -               94     194  98464793  98464681  98464813  98464661 104786869    -        0.16   20.8   5.5  -
SUPER_4              -          all_tr_seqs          -               95     209  73706965  73707103  73706945  73707107 126533278    +        0.17   20.7   8.3  -
SUPER_7              -          all_tr_seqs          -               94     208  85850096  85850231  85850076  85850236 123125920    +        0.23   20.3   9.4  -
SUPER_7              -          all_tr_seqs          -               95     227  85324435  85324288  85324455  85324267 123125920    -        0.36   19.7   6.3  -
SUPER_4              -          all_tr_seqs          -               95     247 123513100 123513295 123513080 123513303 126533278    +        0.56   19.0  13.2  -
SUPER_3              -          all_tr_seqs          -               96     209  20002902  20002761  20002923  20002757 136559948    -        0.76   18.6  11.1  -
SUPER_8              -          all_tr_seqs          -               17      70  99317276  99317223  99317295  99317203 120895728    -        0.99   18.2   2.5  -
SUPER_18             -          all_tr_seqs          -               95     205  36348599  36348720  36348578  36348723 109930937    +         1.4   17.7   9.9  -
SUPER_15             -          all_tr_seqs          -               17      70  11934298  11934245  11934317  11934224 111535001    -         1.5   17.6   3.6  -
SUPER_8              -          all_tr_seqs          -               20     105 111604038 111604121 111604019 111604123 120895728    +         1.7   17.5   3.8  -
