# target name        accession  query name           accession  hmmfrom hmm to    alifrom     ali to    envfrom     env to     sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------    -------    -------    -------    -------    ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          all_tr_seqs          -               22     335   14015276   14015628   14015256   14015648 1131906499    +     3.7e-33  126.3   6.6  -
SUPER_2              -          all_tr_seqs          -               55     149   85150521   85150440   85150538   85150427 1096014467    -       0.079   23.2   5.1  -
SUPER_2              -          all_tr_seqs          -               55     149   85136148   85136067   85136162   85136054 1096014467    -        0.11   22.7   4.7  -
SUPER_1              -          all_tr_seqs          -               84     151  556490426  556490486  556490412  556490519 1131906499    +        0.16   22.2   0.0  -
SUPER_5              -          all_tr_seqs          -               39     151  204833605  204833509  204833623  204833499  964576690    -         0.2   21.9   5.6  -
SUPER_9              -          all_tr_seqs          -               39     151  119915279  119915182  119915292  119915172  549908367    -         0.2   21.9   5.1  -
SUPER_1              -          all_tr_seqs          -               13      79 1113804422 1113804356 1113804434 1113804336 1131906499    -        0.22   21.8   1.2  -
SUPER_7              -          all_tr_seqs          -               26     112  220561930  220561851  220561950  220561831  690682256    -        0.23   21.7   2.3  -
SUPER_4              -          all_tr_seqs          -               99     184  491559115  491559023  491559135  491559007 1006957985    -        0.24   21.7   2.4  -
SUPER_2              -          all_tr_seqs          -               17     103  274936843  274936750  274936862  274936722 1096014467    -        0.38   21.0   6.0  -
SUPER_1              -          all_tr_seqs          -               17     104 1117835379 1117835291 1117835397 1117835271 1131906499    -        0.45   20.7  10.4  -
SUPER_2              -          all_tr_seqs          -               18     108  640842038  640841938  640842058  640841917 1096014467    -        0.52   20.5   7.0  -
SUPER_1              -          all_tr_seqs          -               19      90 1054632641 1054632708 1054632621 1054632728 1131906499    +        0.58   20.4   4.3  -
HAP2_SCAFFOLD_53     -          all_tr_seqs          -               17      82     392650     392585     392666     392568    1968000    -        0.59   20.3   1.7  -
HAP2_SCAFFOLD_53     -          all_tr_seqs          -               17      82     423796     423731     423812     423714    1968000    -        0.59   20.3   1.7  -
SUPER_4              -          all_tr_seqs          -               41     151  882211790  882211883  882211775  882211893 1006957985    +        0.61   20.3   4.3  -
SUPER_1              -          all_tr_seqs          -               17      78  630974496  630974435  630974513  630974384 1131906499    -        0.61   20.3   7.3  -
SUPER_2              -          all_tr_seqs          -               17      78  261136017  261135956  261136033  261135904 1096014467    -        0.66   20.2   7.1  -
HAP2_SCAFFOLD_53     -          all_tr_seqs          -               18      82     386826     386762     386845     386745    1968000    -        0.66   20.2   1.2  -
SUPER_4              -          all_tr_seqs          -               19      75  983105784  983105728  983105803  983105710 1006957985    -        0.72   20.1   2.0  -
SUPER_3              -          all_tr_seqs          -               14      79  451736949  451736884  451736966  451736865 1030295366    -        0.77   20.0   4.2  -
SUPER_1              -          all_tr_seqs          -               14      81 1094093209 1094093276 1094093193 1094093294 1131906499    +        0.82   19.9   0.7  -
SUPER_4              -          all_tr_seqs          -               19      76  983107628  983107571  983107648  983107551 1006957985    -        0.93   19.7   2.6  -
SUPER_7              -          all_tr_seqs          -               18     108  291284684  291284584  291284703  291284565  690682256    -        0.94   19.7   6.3  -
SUPER_4              -          all_tr_seqs          -               19      76  983038608  983038551  983038628  983038531 1006957985    -        0.96   19.7   2.8  -
SUPER_4              -          all_tr_seqs          -               19      76  983066924  983066867  983066944  983066847 1006957985    -        0.96   19.7   2.8  -
SUPER_1              -          all_tr_seqs          -               18     109  463836832  463836933  463836812  463836952 1131906499    +           1   19.6   7.2  -
SUPER_7              -          all_tr_seqs          -               18     112  326245530  326245447  326245546  326245430  690682256    -         1.1   19.5   4.0  -
SUPER_7              -          all_tr_seqs          -               18     112  326247163  326247080  326247179  326247063  690682256    -         1.1   19.5   4.0  -
SUPER_4              -          all_tr_seqs          -               19      76  983089955  983089898  983089974  983089878 1006957985    -         1.2   19.4   3.0  -
SUPER_2              -          all_tr_seqs          -               18     108  433497410  433497510  433497393  433497529 1096014467    +         1.2   19.4   6.6  -
SUPER_4              -          all_tr_seqs          -               19      76  983089031  983088974  983089050  983088954 1006957985    -         1.2   19.3   3.1  -
SUPER_4              -          all_tr_seqs          -               19      76  983050341  983050284  983050361  983050264 1006957985    -         1.2   19.3   3.3  -
SUPER_6              -          all_tr_seqs          -               17      79  503705763  503705825  503705745  503705876  842757269    +         1.2   19.3   6.6  -
SUPER_4              -          all_tr_seqs          -               19      76  983069290  983069233  983069309  983069213 1006957985    -         1.3   19.3   3.4  -
SUPER_9              -          all_tr_seqs          -               95     156   46434099   46434037   46434117   46434017  549908367    -         1.3   19.2   1.2  -
SUPER_4              -          all_tr_seqs          -               19      77  983068107  983068049  983068126  983068029 1006957985    -         1.3   19.2   3.2  -
SUPER_4              -          all_tr_seqs          -               20     144  616123259  616123369  616123239  616123380 1006957985    +         1.4   19.1   5.0  -
SUPER_2              -          all_tr_seqs          -               20      76  921435088  921435144  921435068  921435164 1096014467    +         1.4   19.1   4.4  -
SUPER_3              -          all_tr_seqs          -               19      79   59451475   59451415   59451494   59451400 1030295366    -         1.5   19.0   1.2  -
SUPER_1              -          all_tr_seqs          -               15      79 1093976691 1093976755 1093976672 1093976774 1131906499    +         1.6   19.0   2.4  -
SUPER_4              -          all_tr_seqs          -               20      75  983073506  983073451  983073526  983073430 1006957985    -         1.6   19.0   3.5  -
SUPER_7              -          all_tr_seqs          -               18      79  232260911  232260850  232260931  232260800  690682256    -         1.6   19.0   7.1  -
SUPER_2              -          all_tr_seqs          -               40     149   89290981   89290874   89290990   89290854 1096014467    -         1.6   18.9   3.9  -
SUPER_4              -          all_tr_seqs          -               20      75  983076537  983076482  983076557  983076462 1006957985    -         1.6   18.9   3.0  -
SUPER_4              -          all_tr_seqs          -               18     149  976319186  976319058  976319204  976319038 1006957985    -         1.7   18.9   4.6  -
SUPER_4              -          all_tr_seqs          -               19      73  983035594  983035540  983035614  983035520 1006957985    -         1.8   18.8   3.4  -
SUPER_2              -          all_tr_seqs          -               13      76  978570539  978570602  978570524  978570621 1096014467    +         1.8   18.8   2.3  -
SUPER_2              -          all_tr_seqs          -               13      76  978777066  978777003  978777081  978776984 1096014467    -         1.8   18.8   2.3  -
SUPER_8              -          all_tr_seqs          -               14      76  101407320  101407258  101407340  101407241  693712655    -         1.9   18.7   3.8  -
SUPER_4              -          all_tr_seqs          -               19     117  980712432  980712543  980712412  980712555 1006957985    +         1.9   18.6   7.5  -
SUPER_4              -          all_tr_seqs          -               19      75  983078646  983078590  983078665  983078570 1006957985    -           2   18.6   3.5  -
SUPER_4              -          all_tr_seqs          -               20      75  983071398  983071343  983071417  983071323 1006957985    -         2.1   18.5   3.3  -
SUPER_8              -          all_tr_seqs          -               17      72  394673635  394673580  394673655  394673560  693712655    -         2.2   18.5   8.6  -
SUPER_4              -          all_tr_seqs          -               19      76  983083433  983083376  983083452  983083356 1006957985    -         2.2   18.5   3.9  -
SUPER_4              -          all_tr_seqs          -               19      76  983049158  983049101  983049178  983049081 1006957985    -         2.6   18.3   3.6  -
SUPER_2              -          all_tr_seqs          -               18     147  654335955  654335848  654335973  654335837 1096014467    -         2.7   18.2   4.2  -
SUPER_5              -          all_tr_seqs          -               17      70  612331607  612331660  612331588  612331689  964576690    +         2.7   18.2   8.2  -
SUPER_8              -          all_tr_seqs          -               17      69  343411276  343411224  343411294  343411201  693712655    -         2.7   18.2   7.9  -
SUPER_7              -          all_tr_seqs          -               17      70  381087821  381087874  381087804  381087902  690682256    +         2.7   18.2   8.2  -
SUPER_3              -          all_tr_seqs          -               16      76  107908279  107908219  107908295  107908199 1030295366    -         2.8   18.1   6.5  -
SUPER_4              -          all_tr_seqs          -               17      69  598267776  598267828  598267759  598267850 1006957985    +         2.9   18.1   8.0  -
HAP2_SCAFFOLD_37     -          all_tr_seqs          -               41     143    2631713    2631807    2631700    2631823    2778360    +         3.1   18.0   1.7  -
SUPER_3              -          all_tr_seqs          -               17      68  229839625  229839676  229839607  229839704 1030295366    +         3.2   17.9   9.1  -
SUPER_9              -          all_tr_seqs          -               20     116  469047167  469047059  469047187  469047046  549908367    -         3.2   17.9   4.6  -
SUPER_7              -          all_tr_seqs          -               18      94  326249907  326249838  326249923  326249818  690682256    -         3.3   17.9   6.2  -
SUPER_3              -          all_tr_seqs          -               96     151   24523094   24523044   24523113   24523024 1030295366    -         3.3   17.9   1.3  -
SUPER_4              -          all_tr_seqs          -               17     102  150416588  150416674  150416570  150416678 1006957985    +         3.4   17.9   6.0  -
SUPER_4              -          all_tr_seqs          -               19      78  983088770  983088711  983088788  983088691 1006957985    -         3.4   17.9   6.5  -
SUPER_2              -          all_tr_seqs          -               19      76  921439496  921439553  921439477  921439573 1096014467    +         3.4   17.8   5.2  -
SUPER_2              -          all_tr_seqs          -               19      76  921839276  921839219  921839295  921839199 1096014467    -         3.4   17.8   5.2  -
SUPER_1              -          all_tr_seqs          -               13      79 1113773325 1113773259 1113773338 1113773239 1131906499    -         3.6   17.8   1.3  -
SUPER_1              -          all_tr_seqs          -               13      83 1113771628 1113771559 1113771643 1113771542 1131906499    -         3.6   17.8   1.5  -
SUPER_6              -          all_tr_seqs          -               19     109    6647231    6647132    6647250    6647109  842757269    -         3.7   17.7   3.2  -
SUPER_1              -          all_tr_seqs          -               41     151  366036771  366036681  366036787  366036669 1131906499    -         3.7   17.7   4.4  -
SUPER_9              -          all_tr_seqs          -               41     151  119926084  119925994  119926100  119925982  549908367    -         3.7   17.7   4.4  -
SUPER_1              -          all_tr_seqs          -               98     151  974525437  974525389  974525461  974525370 1131906499    -         3.9   17.6   0.8  -
SUPER_1              -          all_tr_seqs          -               26     112  964034277  964034356  964034258  964034376 1131906499    +           4   17.6   0.9  -
SUPER_1              -          all_tr_seqs          -               19      97  135268811  135268888  135268791  135268908 1131906499    +           4   17.6   5.4  -
SUPER_5              -          all_tr_seqs          -               24      98  946329456  946329530  946329436  946329532  964576690    +         4.4   17.5   1.8  -
SUPER_5              -          all_tr_seqs          -               24      98  946337667  946337741  946337647  946337743  964576690    +         4.4   17.5   1.8  -
SUPER_5              -          all_tr_seqs          -               24      98  946377708  946377782  946377688  946377784  964576690    +         4.4   17.5   1.8  -
SUPER_5              -          all_tr_seqs          -               24      98  946404184  946404258  946404164  946404260  964576690    +         4.4   17.5   1.8  -
SUPER_7              -          all_tr_seqs          -               19     151  264970855  264970965  264970836  264970980  690682256    +         4.5   17.5   5.0  -
SUPER_2              -          all_tr_seqs          -               25     149 1064631910 1064632014 1064631890 1064632032 1096014467    +         4.5   17.4   8.5  -
SUPER_2              -          all_tr_seqs          -               18      74 1094432701 1094432645 1094432720 1094432624 1096014467    -         4.7   17.4   7.4  -
SUPER_9              -          all_tr_seqs          -               21     105  517271766  517271693  517271786  517271669  549908367    -         4.9   17.3   3.5  -
SUPER_7              -          all_tr_seqs          -               19     117  326505209  326505091  326505227  326505078  690682256    -         4.9   17.3   7.0  -
SUPER_2              -          all_tr_seqs          -               19     109  274838931  274838831  274838951  274838810 1096014467    -         4.9   17.3   7.5  -
SUPER_8              -          all_tr_seqs          -               94     150  591979259  591979311  591979240  591979331  693712655    +           5   17.3   0.0  -
SUPER_2              -          all_tr_seqs          -               22     111 1094620232 1094620322 1094620212 1094620342 1096014467    +           5   17.3   9.5  -
SUPER_4              -          all_tr_seqs          -               20      77  983036518  983036461  983036538  983036441 1006957985    -         5.1   17.3   3.1  -
SUPER_1              -          all_tr_seqs          -               18      84 1029671783 1029671854 1029671764 1029671896 1131906499    +         5.2   17.2   5.8  -
SUPER_9              -          all_tr_seqs          -              103     157   46659536   46659479   46659556   46659465  549908367    -         5.3   17.2   2.2  -
SUPER_6              -          all_tr_seqs          -               15      73   82511495   82511553   82511479   82511573  842757269    +         5.5   17.1   3.0  -
SUPER_7              -          all_tr_seqs          -               19     124  326415951  326415832  326415968  326415824  690682256    -         5.6   17.1   6.4  -
SUPER_8              -          all_tr_seqs          -               18     102  619786007  619786092  619785988  619786101  693712655    +         5.6   17.1   3.1  -
SUPER_1              -          all_tr_seqs          -               17      79  714487613  714487675  714487596  714487726 1131906499    +         5.7   17.1   7.4  -
SUPER_2              -          all_tr_seqs          -               19     139 1010523824 1010523678 1010523842 1010523652 1096014467    -         5.7   17.1   3.9  -
HAP2_SCAFFOLD_2714   -          all_tr_seqs          -               52     145       2259       2159       2278       2139      21000    -         5.7   17.1   1.9  -
SUPER_2              -          all_tr_seqs          -               19      91   43890991   43891064   43890971   43891078 1096014467    +         5.8   17.1   4.9  -
SUPER_9              -          all_tr_seqs          -               19      72  471322494  471322441  471322514  471322420  549908367    -         5.9   17.1   1.5  -
SUPER_2              -          all_tr_seqs          -               95     151 1030092637 1030092587 1030092656 1030092567 1096014467    -         5.9   17.1   1.9  -
SUPER_5              -          all_tr_seqs          -               19      76  921199477  921199534  921199457  921199553  964576690    +         6.4   17.0   8.2  -
SUPER_6              -          all_tr_seqs          -               16      72  535527566  535527510  535527583  535527490  842757269    -         6.9   16.8   2.3  -
SUPER_4              -          all_tr_seqs          -               21      76  983075613  983075558  983075633  983075538 1006957985    -         7.1   16.8   3.8  -
SUPER_4              -          all_tr_seqs          -               21      76  983080752  983080697  983080772  983080677 1006957985    -         7.1   16.8   3.8  -
SUPER_4              -          all_tr_seqs          -               21      76  983086099  983086044  983086119  983086024 1006957985    -         7.1   16.8   3.8  -
SUPER_5              -          all_tr_seqs          -               16     144  258018434  258018268  258018451  258018257  964576690    -         7.1   16.8   5.7  -
SUPER_1              -          all_tr_seqs          -               19      76   75124295   75124238   75124312   75124207 1131906499    -         7.2   16.8   1.5  -
SUPER_3              -          all_tr_seqs          -               18      72  157138240  157138186  157138260  157138164 1030295366    -         7.2   16.8   3.6  -
SUPER_7              -          all_tr_seqs          -               19     110  326450597  326450493  326450614  326450474  690682256    -         7.5   16.7   7.8  -
SUPER_8              -          all_tr_seqs          -               20      80  678213659  678213719  678213643  678213734  693712655    +         7.7   16.7   3.2  -
SUPER_7              -          all_tr_seqs          -               18      76  327356816  327356758  327356833  327356736  690682256    -         7.7   16.7   7.2  -
SUPER_9              -          all_tr_seqs          -               16      72  226099856  226099800  226099874  226099768  549908367    -         7.8   16.7   6.7  -
SUPER_8              -          all_tr_seqs          -               17      79  482005776  482005839  482005760  482005890  693712655    +         7.9   16.6   6.7  -
SUPER_7              -          all_tr_seqs          -               19     145  684475041  684475132  684475022  684475152  690682256    +           8   16.6   5.2  -
SUPER_7              -          all_tr_seqs          -               18      76  327359305  327359247  327359322  327359226  690682256    -         8.2   16.6   7.3  -
