# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_5              -          all_tr_seqs          -               21     342 13276170 13276489 13276150 13276493 21782512    +     2.7e-37  135.4   3.8  -
SUPER_1              -          all_tr_seqs          -               19     341  8703419  8703744  8703401  8703750 29227728    +       5e-30  111.4   4.1  -
SUPER_2              -          all_tr_seqs          -               17     123 16678524 16678626 16678509 16678640 24866520    +       0.014   21.1   4.6  -
SUPER_14             -          all_tr_seqs          -               16      76  5715858  5715798  5715874  5715779 17688840    -        0.07   18.8   2.3  -
SUPER_11             -          all_tr_seqs          -               18      86  5137162  5137233  5137145  5137244 19127345    +       0.075   18.7   1.4  -
SUPER_13             -          all_tr_seqs          -               19      76 11999257 11999314 11999238 11999333 18620681    +        0.11   18.1   4.3  -
SUPER_7              -          all_tr_seqs          -               18      82 15419362 15419298 15419379 15419280 20949045    -        0.12   18.1   0.3  -
SUPER_11             -          all_tr_seqs          -               16      68   604743   604691   604758   604667 19127345    -        0.12   18.0   4.0  -
SUPER_7              -          all_tr_seqs          -               20      82 15473501 15473439 15473520 15473421 20949045    -        0.15   17.7   0.2  -
SUPER_3              -          all_tr_seqs          -               20      74  3681370  3681424  3681350  3681444 24862596    +        0.25   17.0   1.6  -
SUPER_11             -          all_tr_seqs          -               17      72   638715   638770   638699   638794 19127345    +        0.29   16.8   3.2  -
SUPER_11             -          all_tr_seqs          -               22      72 18978925 18978975 18978905 18978996 19127345    +        0.32   16.7   5.9  -
SUPER_14             -          all_tr_seqs          -               16      68  1310636  1310584  1310655  1310555 17688840    -        0.43   16.3   2.0  -
SUPER_3              -          all_tr_seqs          -               20      68  5948505  5948457  5948524  5948437 24862596    -        0.68   15.6   4.9  -
SUPER_2              -          all_tr_seqs          -               14      76 13433527 13433465 13433541 13433445 24866520    -         0.7   15.5   4.6  -
SUPER_6              -          all_tr_seqs          -               16      71  4672480  4672535  4672465  4672555 21596566    +        0.76   15.4   5.4  -
SUPER_2              -          all_tr_seqs          -               11      68  4165012  4165069  4165002  4165089 24866520    +        0.84   15.3   3.1  -
SUPER_2              -          all_tr_seqs          -               17      75 20691723 20691781 20691708 20691801 24866520    +        0.88   15.2   6.8  -
SUPER_14             -          all_tr_seqs          -               21      83  2966385  2966320  2966405  2966306 17688840    -           1   15.0   5.0  -
SUPER_2              -          all_tr_seqs          -               19      71  3904210  3904262  3904191  3904281 24866520    +           1   15.0   2.5  -
SUPER_16             -          all_tr_seqs          -               20      78 15739022 15738964 15739042 15738951 17086945    -         1.1   14.9   3.7  -
SUPER_11             -          all_tr_seqs          -               18      83  5134907  5134975  5134889  5134989 19127345    +         1.2   14.7   1.1  -
SUPER_10             -          all_tr_seqs          -               21      72  1396993  1397044  1396973  1397063 19666261    +         1.3   14.7   5.5  -
SUPER_9              -          all_tr_seqs          -               24      69 17150671 17150626 17150691 17150606 20328459    -         1.3   14.6   1.1  -
SUPER_2              -          all_tr_seqs          -               14      75 20646812 20646873 20646799 20646891 24866520    +         1.4   14.6   2.8  -
SUPER_12             -          all_tr_seqs          -               18      76 18197916 18197974 18197898 18197994 18638573    +         1.5   14.5   6.7  -
SUPER_3              -          all_tr_seqs          -               17      76 20769801 20769860 20769785 20769876 24862596    +         1.5   14.5   5.4  -
SUPER_2              -          all_tr_seqs          -               16     125 13433120 13433013 13433136 13433000 24866520    -         1.5   14.5   5.7  -
SUPER_1              -          all_tr_seqs          -               20     104 24491454 24491375 24491473 24491354 29227728    -         1.6   14.4   6.5  -
SUPER_3              -          all_tr_seqs          -               13      78 20741514 20741579 20741501 20741596 24862596    +         1.8   14.2   3.1  -
SUPER_10             -          all_tr_seqs          -               20      76  4796363  4796419  4796345  4796439 19666261    +         1.9   14.1   3.7  -
SUPER_8              -          all_tr_seqs          -              127     182  1518884  1518826  1518904  1518823 20803385    -         2.4   13.8   2.9  -
SUPER_8              -          all_tr_seqs          -              164     210  9276031  9276077  9276009  9276080 20803385    +         2.4   13.8   1.7  -
SUPER_1              -          all_tr_seqs          -               23      68  8789142  8789187  8789122  8789207 29227728    +         2.7   13.6   6.2  -
SUPER_6              -          all_tr_seqs          -               19      72 11554385 11554438 11554366 11554458 21596566    +         3.2   13.4   4.1  -
SUPER_14             -          all_tr_seqs          -               20      68  5788661  5788613  5788678  5788591 17688840    -         3.5   13.2   2.6  -
SUPER_3              -          all_tr_seqs          -               12      70 15924583 15924525 15924596 15924504 24862596    -         3.7   13.2   2.1  -
SUPER_13             -          all_tr_seqs          -               17      79 15105479 15105417 15105498 15105398 18620681    -         3.7   13.2   3.9  -
SUPER_13             -          all_tr_seqs          -               17      79 15111400 15111338 15111419 15111319 18620681    -         3.7   13.2   3.9  -
SUPER_8              -          all_tr_seqs          -               22      68  1623900  1623946  1623880  1623966 20803385    +         3.7   13.2   5.6  -
SUPER_9              -          all_tr_seqs          -               19     143  4036180  4036061  4036198  4036040 20328459    -         3.9   13.1   3.1  -
SUPER_12             -          all_tr_seqs          -               21      68 16114092 16114045 16114112 16114025 18638573    -           4   13.0   4.1  -
SUPER_3              -          all_tr_seqs          -               16      68 14170138 14170190 14170123 14170210 24862596    +         4.1   13.0   1.3  -
SUPER_13             -          all_tr_seqs          -               17      73 11929269 11929213 11929285 11929192 18620681    -         4.1   13.0   5.1  -
SUPER_1              -          all_tr_seqs          -               14      70 11505980 11505924 11505995 11505903 29227728    -         4.7   12.8   2.8  -
SUPER_7              -          all_tr_seqs          -               18      68 20091588 20091639 20091571 20091662 20949045    +         4.9   12.8   2.7  -
SUPER_16             -          all_tr_seqs          -               16     100  3187303  3187214  3187321  3187203 17086945    -         5.1   12.7   3.7  -
SUPER_8              -          all_tr_seqs          -               14      68 16851430 16851376 16851443 16851356 20803385    -         5.1   12.7   3.6  -
SUPER_3              -          all_tr_seqs          -               22      80 15722214 15722156 15722234 15722141 24862596    -         5.3   12.7   5.0  -
SUPER_13             -          all_tr_seqs          -               24      68 17031056 17031101 17031036 17031129 18620681    +           6   12.5   7.2  -
SUPER_4              -          all_tr_seqs          -               21      68  7727204  7727251  7727184  7727272 23537369    +         6.1   12.5   2.0  -
SUPER_6              -          all_tr_seqs          -               22      68 17213246 17213292 17213226 17213313 21596566    +         6.3   12.4   2.9  -
SUPER_14             -          all_tr_seqs          -               20      69  3451885  3451836  3451905  3451815 17688840    -         6.8   12.3   2.9  -
SUPER_7              -          all_tr_seqs          -               21      71 20335618 20335669 20335598 20335693 20949045    +           7   12.2   1.9  -
SUPER_13             -          all_tr_seqs          -               19      76 11911687 11911630 11911707 11911611 18620681    -         7.5   12.2   4.0  -
SUPER_2              -          all_tr_seqs          -               16      68 15973019 15973071 15973000 15973094 24866520    +         7.6   12.1   3.4  -
SUPER_2              -          all_tr_seqs          -               15      68  7488083  7488136  7488068  7488156 24866520    +         7.9   12.1   4.5  -
SUPER_4              -          all_tr_seqs          -              101     148 20584063 20584011 20584083 20583991 23537369    -           8   12.1   0.6  -
SUPER_7              -          all_tr_seqs          -               14      58   144246   144202   144261   144200 20949045    -         8.6   12.0   2.7  -
SUPER_6              -          all_tr_seqs          -               21      71   930317   930367   930297   930389 21596566    +         9.1   11.9   9.0  -
SUPER_13             -          all_tr_seqs          -               22      67 13573073 13573028 13573093 13573007 18620681    -         9.1   11.9   2.8  -
SUPER_14             -          all_tr_seqs          -               20      68  5786629  5786677  5786609  5786697 17688840    +         9.5   11.8   6.0  -
SUPER_8              -          all_tr_seqs          -               15      72  9442772  9442715  9442788  9442695 20803385    -         9.6   11.8   6.4  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/outputs/tr_tbls/all_tr_seqs.hmm
# Target file:     /data/tol/data/darwin/dicots/Lepidium_didymum/assembly/curated/ddLepDidy1.1/ddLepDidy1.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/outputs/tr_tbls/Lepidium_didymum_all_tr_seqs_020226.tbl --dna --cpu 20 /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/outputs/tr_tbls/all_tr_seqs.hmm /data/tol/data/darwin/dicots/Lepidium_didymum/assembly/curated/ddLepDidy1.1/ddLepDidy1.1.primary.fa.gz 
# Current dir:     /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert
# Date:            Mon Feb  2 13:14:30 2026
# [ok]
