# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_49             -          all_tr_seqs          -               22     336  2244058  2243741  2244078  2243731  9099391    -     1.5e-22   88.0   9.5  -
SUPER_42             -          all_tr_seqs          -               22     338  2196639  2196318  2196659  2196306 11355826    -     1.9e-22   87.6  10.0  -
SUPER_44             -          all_tr_seqs          -               80     336  8345051  8345322  8345008  8345333 11093227    +     8.9e-18   72.3   9.7  -
SUPER_25             -          all_tr_seqs          -               22     342 14933236 14933564 14933216 14933571 15036613    +     1.7e-17   71.3   8.5  -
SUPER_16             -          all_tr_seqs          -               43     341   233804   233495   233825   233489 16099056    -       2e-16   67.9   6.6  -
SUPER_11             -          all_tr_seqs          -              108     336 14668559 14668350 14668621 14668342 16711712    -     2.1e-14   61.2   7.2  -
SUPER_14             -          all_tr_seqs          -              205     338  1589800  1589690  1589833  1589682 16356694    -     5.3e-08   40.1   3.8  -
SUPER_23             -          all_tr_seqs          -               43     143  1189948  1190049  1189938  1190069 15126967    +        0.45   17.3   2.5  -
SUPER_37             -          all_tr_seqs          -              126     185 10589383 10589457 10589373 10589458 13510063    +        0.82   16.5   1.5  -
SUPER_35             -          all_tr_seqs          -               19     112  2366851  2366747  2366870  2366735 13859525    -         1.1   16.0   6.4  -
SUPER_52             -          all_tr_seqs          -               18      72  1665256  1665310  1665239  1665330  7821892    +         1.3   15.9   8.4  -
SUPER_19             -          all_tr_seqs          -               36     149  4415765  4415867  4415759  4415888 15674596    +         1.4   15.8   1.2  -
SUPER_19             -          all_tr_seqs          -               16      72  5321439  5321495  5321425  5321516 15674596    +         2.5   14.9   4.9  -
SUPER_32             -          all_tr_seqs          -               15      73  6250795  6250737  6250814  6250712 14608635    -         2.7   14.8   4.7  -
SUPER_25             -          all_tr_seqs          -               16      76  7066544  7066604  7066529  7066639 15036613    +         2.8   14.7   3.8  -
SUPER_43             -          all_tr_seqs          -               16      75  9343658  9343599  9343673  9343562 11350934    -         2.9   14.7   7.4  -
