# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_7B             -          all_tr_seqs          -               24     334 268187400 268187070 268187420 268187050 380795964    -     8.3e-29  111.7   2.7  -
SUPER_7A             -          all_tr_seqs          -               20     332 207649357 207649025 207649377 207649006 294768056    -     1.2e-27  107.9   3.6  -
SUPER_6A             -          all_tr_seqs          -               15     156  16196532  16196695  16196516  16196713 497127366    +        0.15   22.0   4.1  -
SUPER_7B             -          all_tr_seqs          -               18      75 200479460 200479403 200479480 200479386 380795964    -        0.32   21.0   1.7  -
SUPER_5A             -          all_tr_seqs          -               21     108 157642865 157642946 157642845 157642964 333855366    +        0.33   20.9   3.5  -
SUPER_5B             -          all_tr_seqs          -               20     106 189069145 189069224 189069126 189069244 403395532    +        0.39   20.7   2.8  -
SUPER_2A             -          all_tr_seqs          -               17     124 101471441 101471551 101471425 101471559 390107504    +        0.44   20.5   1.6  -
SUPER_1B             -          all_tr_seqs          -               41     148 131830589 131830695 131830576 131830721 290367015    +         0.5   20.3   4.1  -
SUPER_3B             -          all_tr_seqs          -               14      73  86595920  86595979  86595907  86596002 474348345    +        0.57   20.1   1.1  -
SUPER_2B             -          all_tr_seqs          -               17     106 129546201 129546294 129546185 129546314 463940796    +         1.1   19.1   1.2  -
SUPER_5B             -          all_tr_seqs          -               14     140 198513873 198513762 198513886 198513742 403395532    -         1.1   19.1   0.5  -
SUPER_9A             -          all_tr_seqs          -               18      76  52620196  52620254  52620178  52620273 281616506    +         1.2   19.0   0.6  -
SUPER_2B             -          all_tr_seqs          -               12      72 434989980 434989920 434989992 434989898 463940796    -         1.5   18.7   0.6  -
SUPER_7B             -          all_tr_seqs          -               19      76 195885028 195884971 195885046 195884949 380795964    -         1.6   18.6   1.1  -
SUPER_2B             -          all_tr_seqs          -               75     144 137618455 137618522 137618433 137618542 463940796    +         1.6   18.6   2.4  -
SUPER_2A             -          all_tr_seqs          -               13      72 361521263 361521204 361521276 361521183 390107504    -         1.6   18.6   0.7  -
SUPER_4B             -          all_tr_seqs          -               70     198 236285766 236285924 236285740 236285934 331003491    +         1.8   18.5   4.1  -
HAP2_SCAFFOLD_278    -          all_tr_seqs          -               18      74     55706     55762     55686     55782    420060    +         1.9   18.4   1.6  -
