# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_6              -          TR                   -                1     317 224218175 224217822 224218175 224217822 469761991    -     1.1e-20   84.4   3.8  -
SUPER_6              -          TR                   -               24     313 223745326 223745661 223745314 223745663 469761991    +     4.6e-10   49.5   5.5  -
SUPER_6              -          TR                   -               31     313 223599818 223600146 223599799 223600148 469761991    +     6.7e-10   49.0   5.2  -
SUPER_6              -          TR                   -               38     313 223394924 223395244 223394904 223395246 469761991    +       1e-08   45.1   3.6  -
SUPER_6              -          TR                   -               48     314 223904632 223904957 223904605 223904958 469761991    +     3.2e-07   40.2   6.8  -
SUPER_6              -          TR                   -               47     314 223636380 223636706 223636353 223636707 469761991    +     5.5e-07   39.4   7.3  -
SUPER_7              -          TR                   -               37     312 412777683 412777989 412777663 412777992 445730096    +     2.1e-06   37.5   6.1  -
SUPER_6              -          TR                   -               38     313 223503384 223503704 223503364 223503706 469761991    +     1.7e-05   34.5   4.3  -
SUPER_6              -          TR                   -               38     313 223508010 223508340 223507990 223508342 469761991    +     0.00073   29.1   4.3  -
SUPER_4              -          TR                   -               32     124 203713392 203713504 203713372 203713524 538798426    +       0.037   23.6   3.6  -
SUPER_7              -          TR                   -              188     316 183134278 183134410 183134265 183134412 445730096    +        0.37   20.3   0.4  -
SUPER_7              -          TR                   -               25     130  51229425  51229565  51229413  51229606 445730096    +        0.51   19.8   4.7  -
SUPER_1              -          TR                   -              188     317  41405917  41406050  41405903  41406050 598381385    +        0.64   19.5   0.6  -
SUPER_1              -          TR                   -              188     316  41387094  41387226  41387080  41387228 598381385    +           1   18.8   0.4  -
SUPER_1              -          TR                   -               34     180 545530964 545530805 545530980 545530786 598381385    -         1.1   18.7   2.4  -
SUPER_1              -          TR                   -               24     128 179417330 179417434 179417306 179417454 598381385    +         1.7   18.1   1.9  -
SUPER_6              -          TR                   -               37     123 375630789 375630875 375630769 375630896 469761991    +         1.7   18.1   3.2  -
SUPER_7              -          TR                   -              188     316 183113662 183113794 183113648 183113796 445730096    +         1.9   17.9   0.4  -
SUPER_9              -          TR                   -                2      65 272135423 272135484 272135422 272135497 399493719    +         2.2   17.7   1.4  -
SUPER_2              -          TR                   -               68     130 512599468 512599404 512599495 512599384 552795374    -         2.9   17.4   3.5  -
SUPER_1              -          TR                   -               73     131 487208407 487208354 487208428 487208314 598381385    -         3.3   17.1   3.4  -
SUPER_1              -          TR                   -               29     131 487201580 487201448 487201596 487201408 598381385    -         3.9   16.9   5.5  -
SUPER_6              -          TR                   -               37     123 375547902 375547984 375547882 375548005 469761991    +           4   16.9   3.0  -
SUPER_8              -          TR                   -               34     131 301425269 301425398 301425250 301425425 425472480    +         4.7   16.6   5.2  -
SUPER_4              -          TR                   -                2      95 107532628 107532526 107532629 107532507 538798426    -         5.1   16.5   3.0  -
SUPER_4              -          TR                   -               56     131 519281455 519281543 519281419 519281570 538798426    +         9.4   15.7   2.2  -
SUPER_7              -          TR                   -              188     316 183155003 183155135 183154990 183155137 445730096    +          10   15.6   0.4  -
#
# Program:         nhmmer
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/inputs/TR.hmm
# Target file:     /data/tol/data/darwin/dicots/Tanacetum_vulgare/assembly/curated/daTanVulg1.1/daTanVulg1.hap2.1.primary.fa.gz
# Option settings: /software/team301/hmmer-3.4/src/nhmmer --tblout /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/outputs/tr_tbls/Tanacetum_vulgare.tbl --dna --cpu 20 /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/inputs/TR.hmm /data/tol/data/darwin/dicots/Tanacetum_vulgare/assembly/curated/daTanVulg1.1/daTanVulg1.hap2.1.primary.fa.gz 
# Current dir:     /lustre/scratch122/tol/teams/blaxter/users/mb39/tr_tert/src
# Date:            Thu Nov 27 12:28:22 2025
# [ok]
