# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_9              -          all_tr_seqs          -               13     343  7662297  7661954  7662310  7661944 53186991    -     8.8e-58  204.0   0.4  -
SUPER_5              -          all_tr_seqs          -               13     342  7539304  7538961  7539317  7538952 59866756    -     2.8e-54  192.4   1.6  -
SUPER_3              -          all_tr_seqs          -               75     338   343754   343489   343786   343481 69102451    -     2.4e-43  156.5   4.6  -
SUPER_1              -          all_tr_seqs          -               84     338   486644   486378   486665   486358 72540539    -     1.9e-38  140.4   1.5  -
SUPER_4              -          all_tr_seqs          -              260     341 36652660 36652741 36652658 36652749 64024230    +       2e-07   38.3   7.0  -
SUPER_1              -          all_tr_seqs          -               48     145 11484070 11483975 11484081 11483954 72540539    -       0.029   21.3   3.2  -
SUPER_6              -          all_tr_seqs          -               18      75 23125713 23125770 23125693 23125792 58843574    +        0.12   19.3   1.2  -
SUPER_14             -          all_tr_seqs          -               15     100 22990559 22990475 22990573 22990474 40190813    -        0.17   18.8   2.4  -
SUPER_6              -          all_tr_seqs          -               18      88 23328655 23328727 23328638 23328736 58843574    +        0.35   17.8   0.0  -
SUPER_10             -          all_tr_seqs          -               13      72 20305680 20305739 20305666 20305763 50826972    +        0.43   17.5   1.4  -
SUPER_9              -          all_tr_seqs          -              297     340  6426672  6426716  6426665  6426724 53186991    +         0.5   17.3   8.8  -
SUPER_2              -          all_tr_seqs          -               18      86 39902666 39902596 39902686 39902585 71276801    -        0.65   16.9   0.3  -
SUPER_10             -          all_tr_seqs          -               18      80 20655622 20655684 20655601 20655703 50826972    +        0.66   16.9   0.2  -
SUPER_10             -          all_tr_seqs          -               18      79 20267770 20267831 20267753 20267851 50826972    +        0.68   16.8   0.0  -
SUPER_3              -          all_tr_seqs          -               16     107  4493678  4493591  4493695  4493571 69102451    -         0.8   16.6   3.9  -
SUPER_14             -          all_tr_seqs          -              113     202  1519480  1519584  1519460  1519598 40190813    +           1   16.2   3.4  -
SUPER_14             -          all_tr_seqs          -              113     202  1538439  1538335  1538459  1538321 40190813    -           1   16.2   3.4  -
SUPER_6              -          all_tr_seqs          -               16      83 23301775 23301844 23301759 23301858 58843574    +         1.1   16.2   0.7  -
SUPER_7              -          all_tr_seqs          -               19     112 15379488 15379577 15379470 15379599 57400696    +         1.2   16.0   2.2  -
SUPER_14             -          all_tr_seqs          -               94     143  6107428  6107370  6107455  6107363 40190813    -         1.3   15.9   0.0  -
SUPER_5              -          all_tr_seqs          -              297     341  6219445  6219490  6219426  6219497 59866756    +         1.3   15.9   8.0  -
SUPER_6              -          all_tr_seqs          -               16      87 23023158 23023228 23023142 23023241 58843574    +         1.4   15.8   1.0  -
SUPER_10             -          all_tr_seqs          -               55     151 12208880 12208770 12208898 12208745 50826972    -         1.4   15.8   0.7  -
SUPER_10             -          all_tr_seqs          -               17      97 20250578 20250658 20250561 20250660 50826972    +         1.5   15.6   0.5  -
SUPER_6              -          all_tr_seqs          -               15      80 23080736 23080801 23080722 23080820 58843574    +         1.6   15.6   0.0  -
SUPER_1              -          all_tr_seqs          -               21      73 14323289 14323343 14323269 14323363 72540539    +         1.6   15.6   0.4  -
SUPER_6              -          all_tr_seqs          -               19      76 23308861 23308918 23308841 23308940 58843574    +         1.6   15.6   0.5  -
