# target name        accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
SUPER_2              -          TR                   -              107     214  59014254  59014363  59014231  59014391 162232534    +     5.6e-06   33.9   0.2  -
SUPER_1              -          TR                   -              110     246 179625527 179625682 179625508 179625706 191913885    +      0.0024   25.3   1.9  -
SUPER_4              -          TR                   -                2     131   2287766   2287647   2287767   2287627 153560588    -       0.054   20.8   1.5  -
SUPER_1              -          TR                   -               92     175   7497519   7497417   7497539   7497399 191913885    -       0.097   20.0   1.8  -
SUPER_8              -          TR                   -               47     154  56999537  56999434  56999564  56999427  66196959    -        0.13   19.6   1.5  -
SUPER_1              -          TR                   -               92     175  36923321  36923423  36923301  36923439 191913885    +        0.38   18.1   1.1  -
SUPER_1              -          TR                   -               92     175 170377454 170377556 170377434 170377572 191913885    +        0.38   18.1   1.1  -
SUPER_2              -          TR                   -               92     175  71081131  71081233  71081111  71081249 162232534    +        0.38   18.1   1.1  -
SUPER_2              -          TR                   -               92     175  76608579  76608681  76608559  76608697 162232534    +        0.38   18.1   1.1  -
SUPER_3              -          TR                   -               92     175  15158938  15159040  15158918  15159056 161685336    +        0.38   18.1   1.1  -
SUPER_3              -          TR                   -               92     175  20947537  20947435  20947557  20947419 161685336    -        0.38   18.1   1.1  -
SUPER_4              -          TR                   -               92     175  12263406  12263508  12263386  12263524 153560588    +        0.38   18.1   1.1  -
SUPER_5              -          TR                   -               92     175 126159356 126159458 126159336 126159474 138608515    +        0.38   18.1   1.1  -
SUPER_7              -          TR                   -               92     175  32445534  32445636  32445514  32445652  83511016    +        0.38   18.1   1.1  -
SUPER_8              -          TR                   -               92     175  28585682  28585580  28585702  28585564  66196959    -        0.38   18.1   1.1  -
SUPER_8              -          TR                   -               92     175  56686643  56686541  56686663  56686525  66196959    -        0.38   18.1   1.1  -
SUPER_7              -          TR                   -               92     175  62399961  62400063  62399941  62400078  83511016    +        0.38   18.1   1.6  -
SUPER_1              -          TR                   -               92     175 177165073 177164971 177165088 177164955 191913885    -        0.39   18.0   1.1  -
SUPER_3              -          TR                   -               92     175 138582287 138582389 138582267 138582405 161685336    +        0.43   17.9   1.2  -
SUPER_1              -          TR                   -               54     130  78185300  78185220  78185311  78185200 191913885    -        0.46   17.8   0.6  -
SUPER_1              -          TR                   -               92     175  12791179  12791281  12791159  12791297 191913885    +        0.47   17.8   1.3  -
SUPER_1              -          TR                   -               92     175  91029047  91028945  91029067  91028929 191913885    -        0.47   17.8   1.3  -
SUPER_1              -          TR                   -               92     175 169099788 169099686 169099808 169099670 191913885    -        0.47   17.8   1.3  -
SUPER_2              -          TR                   -               92     175  73517481  73517583  73517461  73517599 162232534    +        0.47   17.8   1.3  -
SUPER_2              -          TR                   -               92     175  29190543  29190441  29190563  29190425 162232534    -        0.47   17.8   1.3  -
SUPER_3              -          TR                   -               92     175 152941706 152941808 152941686 152941824 161685336    +        0.47   17.8   1.3  -
SUPER_3              -          TR                   -               92     175 139450351 139450249 139450371 139450233 161685336    -        0.47   17.8   1.3  -
SUPER_5              -          TR                   -               92     175 134728394 134728496 134728374 134728512 138608515    +        0.47   17.8   1.3  -
SUPER_6              -          TR                   -               92     175  68096138  68096240  68096118  68096256  84087346    +        0.47   17.8   1.3  -
SUPER_6              -          TR                   -               92     175  55873302  55873200  55873322  55873184  84087346    -        0.47   17.8   1.3  -
SUPER_7              -          TR                   -               92     175  19640128  19640230  19640108  19640246  83511016    +        0.47   17.8   1.3  -
SUPER_7              -          TR                   -               92     175  19830877  19830979  19830857  19830995  83511016    +        0.47   17.8   1.3  -
SUPER_7              -          TR                   -               92     175   3369741   3369639   3369761   3369623  83511016    -        0.47   17.8   1.3  -
SUPER_2              -          TR                   -               55     131  33002000  33002084  33001986  33002102 162232534    +         0.7   17.2   0.7  -
SUPER_1              -          TR                   -                2     130  12374796  12374667  12374797  12374647 191913885    -        0.79   17.0   4.4  -
SUPER_4              -          TR                   -               54     130 117611427 117611508 117611411 117611528 153560588    +        0.85   16.9   0.4  -
SUPER_6              -          TR                   -               24     141  68952506  68952394  68952519  68952374  84087346    -        0.99   16.7   7.0  -
SUPER_4              -          TR                   -               58     130 135495212 135495135 135495228 135495115 153560588    -           1   16.6   1.0  -
SUPER_6              -          TR                   -              102     163  62025921  62025996  62025901  62026000  84087346    +         1.1   16.6   0.6  -
SUPER_2              -          TR                   -               53     141 117179842 117179945 117179830 117179964 162232534    +         1.1   16.6   1.5  -
SUPER_4              -          TR                   -               57     130  33578001  33578079  33577986  33578099 153560588    +         1.1   16.6   0.5  -
SUPER_3              -          TR                   -               54     130  51738300  51738381  51738288  51738401 161685336    +         1.1   16.6   0.3  -
SUPER_5              -          TR                   -               52     130 111006224 111006309 111006211 111006329 138608515    +         1.2   16.5   0.1  -
SUPER_7              -          TR                   -               72     129    394732    394686    394752    394665  83511016    -         1.2   16.4   0.2  -
SUPER_7              -          TR                   -               18     163  72881890  72881715  72881899  72881710  83511016    -         1.2   16.4   3.6  -
SUPER_2              -          TR                   -               51     129 141266482 141266565 141266466 141266586 162232534    +         1.2   16.4   0.0  -
SUPER_3              -          TR                   -               70     130  91656175  91656120  91656194  91656100 161685336    -         1.2   16.4   0.0  -
SUPER_2              -          TR                   -              109     176  65179471  65179401  65179489  65179387 162232534    -         1.4   16.2   2.3  -
SUPER_1              -          TR                   -               59     130  16566298  16566374  16566280  16566394 191913885    +         1.5   16.1   0.5  -
SUPER_3              -          TR                   -               60     130  85333200  85333275  85333181  85333295 161685336    +         1.5   16.1   0.3  -
SUPER_4              -          TR                   -               59     130  83006936  83006861  83006953  83006841 153560588    -         1.5   16.1   0.5  -
SUPER_3              -          TR                   -               74     141  46652933  46653006  46652913  46653044 161685336    +         1.6   16.0   4.6  -
SUPER_5              -          TR                   -               59     130  48062264  48062188  48062281  48062168 138608515    -         1.6   16.0   0.5  -
SUPER_4              -          TR                   -               56     130  89620838  89620759  89620853  89620739 153560588    -         1.6   16.0   0.0  -
SUPER_4              -          TR                   -               60     130  50848371  50848296  50848389  50848276 153560588    -         1.6   16.0   0.5  -
SUPER_6              -          TR                   -               92     175  77637606  77637708  77637587  77637724  84087346    +         1.7   15.9   2.3  -
SUPER_7              -          TR                   -               60     130  48873204  48873279  48873186  48873299  83511016    +         1.7   15.9   0.3  -
SUPER_5              -          TR                   -               58     130 114546265 114546188 114546283 114546168 138608515    -         1.8   15.9   0.1  -
SUPER_6              -          TR                   -               60     130  43908441  43908366  43908459  43908346  84087346    -         1.8   15.8   0.3  -
SUPER_4              -          TR                   -               68     131 147941189 147941250 147941159 147941272 153560588    +         1.8   15.8   1.6  -
SUPER_1              -          TR                   -               59     130 176664952 176665028 176664935 176665048 191913885    +         1.9   15.8   0.4  -
SUPER_5              -          TR                   -               54     130   7387635   7387716   7387623   7387736 138608515    +           2   15.7   0.4  -
SUPER_5              -          TR                   -               57     130  88208109  88208031  88208126  88208011 138608515    -         2.1   15.7   0.4  -
SUPER_5              -          TR                   -               75     142 109610964 109610859 109610987 109610842 138608515    -         2.1   15.6   0.1  -
SUPER_7              -          TR                   -               55     130  28328930  28329010  28328913  28329030  83511016    +         2.1   15.6   0.9  -
SUPER_1              -          TR                   -               54     130  96900534  96900615  96900521  96900635 191913885    +         2.2   15.6   0.3  -
SUPER_4              -          TR                   -               54     130 144956883 144956964 144956871 144956987 153560588    +         2.3   15.5   0.2  -
SUPER_7              -          TR                   -               68     142  32001465  32001542  32001445  32001560  83511016    +         2.3   15.5   0.0  -
SUPER_4              -          TR                   -               56     130  95715784  95715863  95715769  95715883 153560588    +         2.3   15.5   0.1  -
SUPER_3              -          TR                   -               60     158  80176138  80176030  80176157  80176022 161685336    -         2.3   15.5   1.3  -
SUPER_3              -          TR                   -               60     130 101967005 101966930 101967025 101966910 161685336    -         2.4   15.5   0.2  -
SUPER_6              -          TR                   -               59     130  80491291  80491215  80491308  80491195  84087346    -         2.5   15.4   0.6  -
SUPER_2              -          TR                   -               57     130  38823172  38823250  38823155  38823270 162232534    +         2.5   15.4   0.5  -
SUPER_3              -          TR                   -              103     180 115158455 115158551 115158434 115158559 161685336    +         2.6   15.3   0.4  -
SUPER_7              -          TR                   -               59     130  51420548  51420472  51420565  51420452  83511016    -         2.8   15.2   0.3  -
SUPER_4              -          TR                   -                1     122  43196348  43196515  43196348  43196535 153560588    +         2.9   15.2   2.2  -
SUPER_1              -          TR                   -               62     131  38575364  38575286  38575385  38575261 191913885    -         2.9   15.1   0.6  -
SUPER_3              -          TR                   -               60     130 119366564 119366639 119366543 119366659 161685336    +           3   15.1   0.6  -
SUPER_2              -          TR                   -               60     130  38666052  38665977  38666071  38665957 162232534    -         3.2   15.0   0.0  -
SUPER_8              -          TR                   -               92     174  50653864  50653763  50653884  50653746  66196959    -         3.2   15.0   1.3  -
SUPER_5              -          TR                   -               60     130  40638892  40638967  40638872  40638987 138608515    +         3.3   15.0   0.2  -
SUPER_1              -          TR                   -               54     130  82026837  82026918  82026822  82026938 191913885    +         3.3   15.0   0.2  -
SUPER_5              -          TR                   -               60     130  26341257  26341332  26341239  26341352 138608515    +         3.3   15.0   0.4  -
SUPER_5              -          TR                   -               59     130  46562245  46562321  46562228  46562341 138608515    +         3.4   14.9   0.5  -
SUPER_1              -          TR                   -               60     130  67052048  67052123  67052030  67052143 191913885    +         3.4   14.9   0.1  -
SUPER_4              -          TR                   -               52     129  71310453  71310371  71310469  71310350 153560588    -         3.4   14.9   0.0  -
SUPER_3              -          TR                   -              107     167  71656946  71656876  71656967  71656872 161685336    -         3.4   14.9   0.7  -
SUPER_4              -          TR                   -               59     130  17823278  17823202  17823295  17823182 153560588    -         3.6   14.9   0.7  -
SUPER_3              -          TR                   -               59     130  20407706  20407630  20407726  20407610 161685336    -         3.6   14.9   0.2  -
SUPER_2              -          TR                   -              107     174  88616957  88617041  88616936  88617044 162232534    +         3.6   14.8   4.8  -
SUPER_3              -          TR                   -               62     138  42283592  42283495  42283611  42283472 161685336    -         3.6   14.8   0.3  -
SUPER_2              -          TR                   -               55     130 145954464 145954544 145954450 145954564 162232534    +         3.7   14.8   0.0  -
SUPER_8              -          TR                   -               92     174  51544773  51544672  51544785  51544655  66196959    -         3.7   14.8   1.3  -
SUPER_7              -          TR                   -               54     130  72522825  72522744  72522840  72522724  83511016    -         3.7   14.8   0.0  -
SUPER_2              -          TR                   -               30     125  64597335  64597226  64597352  64597204 162232534    -         3.8   14.8   0.0  -
SUPER_5              -          TR                   -               59     130  41326425  41326349  41326443  41326329 138608515    -         3.9   14.8   0.0  -
SUPER_5              -          TR                   -               92     175 127690353 127690456 127690333 127690472 138608515    +         3.9   14.7   1.5  -
SUPER_7              -          TR                   -               21     141   8034378   8034222   8034395   8034199  83511016    -         3.9   14.7   1.0  -
SUPER_7              -          TR                   -               52     130  72219235  72219152  72219247  72219132  83511016    -         4.1   14.7   0.3  -
SUPER_7              -          TR                   -               52     130  72349882  72349799  72349894  72349779  83511016    -         4.1   14.7   0.3  -
SUPER_3              -          TR                   -               55     130 118922858 118922778 118922871 118922758 161685336    -         4.1   14.7   0.3  -
SUPER_5              -          TR                   -               47     131  22677447  22677548  22677432  22677568 138608515    +         4.1   14.7   0.0  -
SUPER_7              -          TR                   -               52     130  72095926  72095843  72095940  72095823  83511016    -         4.1   14.7   0.4  -
SUPER_8              -          TR                   -               91     174  38753179  38753077  38753199  38753062  66196959    -         4.2   14.6   1.7  -
SUPER_2              -          TR                   -               62     130  11204408  11204481  11204388  11204501 162232534    +         4.2   14.6   0.3  -
SUPER_8              -          TR                   -               59     130   1776583   1776659   1776566   1776679  66196959    +         4.2   14.6   0.1  -
SUPER_3              -          TR                   -              109     166 122288019 122287952 122288040 122287947 161685336    -         4.4   14.6   1.1  -
SUPER_5              -          TR                   -               59     130  53516509  53516433  53516526  53516413 138608515    -         4.5   14.5   0.2  -
SUPER_2              -          TR                   -               55     130 141078813 141078893 141078799 141078913 162232534    +         4.7   14.5   0.3  -
SUPER_1              -          TR                   -               54     130  50692631  50692712  50692618  50692732 191913885    +         4.7   14.5   0.1  -
SUPER_4              -          TR                   -               53     130  66300539  66300457  66300548  66300437 153560588    -         4.8   14.5   0.3  -
SUPER_2              -          TR                   -               57     130  77797965  77797887  77797981  77797867 162232534    -         4.8   14.4   0.1  -
SUPER_5              -          TR                   -               72     125  88699722  88699671  88699742  88699652 138608515    -         4.9   14.4   4.3  -
SUPER_1              -          TR                   -               54     130 173876056 173876137 173876044 173876157 191913885    +         5.1   14.3   0.2  -
SUPER_8              -          TR                   -               91     174   8720271   8720169   8720284   8720152  66196959    -         5.2   14.3   1.5  -
