# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_10             -          all_tr_seqs          -               24     338 71509207 71508876 71509225 71508869 72712808    -     7.8e-38  139.0   1.1  -
SUPER_10             -          all_tr_seqs          -               53     340 55218202 55217896 55218212 55217890 72712808    -     3.3e-24   94.2   3.8  -
SUPER_8              -          all_tr_seqs          -               91     195 32910425 32910303 32910446 32910296 70143865    -       0.014   23.0   3.4  -
SUPER_11             -          all_tr_seqs          -               56     181 75162553 75162442 75162569 75162419 75559116    -       0.054   21.1   0.7  -
SUPER_6              -          all_tr_seqs          -               20     112 53519780 53519688 53519799 53519668 61609960    -       0.055   21.1   4.5  -
HAP2_SCAFFOLD_1584   -          all_tr_seqs          -               15      94    45780    45701    45797    45681    48933    -        0.11   20.1   3.5  -
SUPER_8              -          all_tr_seqs          -               42     149 44569200 44569301 44569190 44569321 70143865    +        0.23   19.0   4.6  -
SUPER_9              -          all_tr_seqs          -               17      79 51841110 51841048 51841127 51841029 64738367    -        0.26   18.8   3.0  -
HAP2_SCAFFOLD_2971   -          all_tr_seqs          -               16      79     5213     5150     5230     5131    37560    -        0.32   18.6   3.9  -
HAP2_SCAFFOLD_5698   -          all_tr_seqs          -               16      79    24640    24577    24657    24558    30067    -        0.32   18.6   3.9  -
HAP2_SCAFFOLD_5557   -          all_tr_seqs          -               18      76     2053     1995     2073     1976    30582    -        0.36   18.4   1.8  -
HAP2_SCAFFOLD_6396   -          all_tr_seqs          -               18      76    25130    25072    25150    25053    27267    -        0.36   18.4   1.8  -
HAP2_SCAFFOLD_158    -          all_tr_seqs          -               15      75    68434    68494    68418    68514   247699    +        0.38   18.3   3.6  -
SUPER_13             -          all_tr_seqs          -               16      70 14334992 14334938 14335012 14334917 66167755    -         0.4   18.2   3.0  -
