# target name        accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
SUPER_1              -          all_tr_seqs          -               82     220  1245355  1245227  1245375  1245207 29480763    -       4e-09   42.8   0.8  -
SUPER_5              -          all_tr_seqs          -               68     151 13216117 13216198 13216094 13216218 21324516    +       0.039   19.8   0.3  -
SUPER_17             -          all_tr_seqs          -               97     149 13532744 13532685 13532764 13532675 15260138    -       0.051   19.4   1.0  -
SUPER_5              -          all_tr_seqs          -              129     186  6751521  6751577  6751501  6751578 21324516    +       0.057   19.2   0.3  -
SUPER_2              -          all_tr_seqs          -               52     159  1141390  1141499  1141370  1141520 27700774    +        0.06   19.2   2.5  -
SUPER_2              -          all_tr_seqs          -               96     172 20316010 20316083 20315989 20316104 27700774    +       0.082   18.7   0.3  -
SUPER_13             -          all_tr_seqs          -               97     157  8821180  8821122  8821201  8821100 16710038    -        0.11   18.3   0.6  -
SUPER_3              -          all_tr_seqs          -               97     208  2232157  2232027  2232178  2232022 22516997    -        0.13   18.0   5.7  -
SUPER_3              -          all_tr_seqs          -              104     194  5131621  5131514  5131637  5131494 22516997    -        0.14   18.0   0.9  -
SUPER_12             -          all_tr_seqs          -               95     144  1027497  1027548  1027464  1027568 16794680    +        0.14   17.9   0.5  -
SUPER_1              -          all_tr_seqs          -               78     148 25008496 25008427 25008516 25008419 29480763    -        0.17   17.7   1.7  -
SUPER_17             -          all_tr_seqs          -               95     144 10916654 10916594 10916674 10916567 15260138    -        0.18   17.6   1.6  -
SUPER_14             -          all_tr_seqs          -               83     143 12156443 12156505 12156408 12156525 16133088    +        0.18   17.5   1.0  -
SUPER_12             -          all_tr_seqs          -               43     151  7101457  7101342  7101468  7101319 16794680    -        0.19   17.5   6.8  -
SUPER_6              -          all_tr_seqs          -              117     181  1423294  1423372  1423274  1423387 20919378    +         0.2   17.4   3.0  -
SUPER_18             -          all_tr_seqs          -               72     160 14728391 14728318 14728412 14728268 14748926    -        0.22   17.3   1.2  -
SUPER_9              -          all_tr_seqs          -               96     194 13872543 13872437 13872563 13872423 17941746    -        0.22   17.3   0.9  -
SUPER_5              -          all_tr_seqs          -               80     160  5026724  5026799  5026705  5026819 21324516    +        0.23   17.3   2.7  -
SUPER_6              -          all_tr_seqs          -              108     149  8292539  8292588  8292500  8292608 20919378    +        0.26   17.1   0.9  -
SUPER_7              -          all_tr_seqs          -               95     149 19435094 19435036 19435128 19435016 20859359    -        0.27   17.0   0.2  -
SUPER_7              -          all_tr_seqs          -               83     149 13656999 13656934 13657034 13656910 20859359    -        0.27   17.0   6.9  -
